Site,Year,SiteYear,Position,Winglength,Mag,Winglength_2,Sex,AdultMass,Notes
East,2017,East2017,2A,9,2x,4.5,M,0.45,
East,2017,East2017,3A,9,2x,4.5,F,0.55,
East,2017,East2017,4A,10,2x,5,F,0.84,
East,2017,East2017,1B,9.1,2x,4.55,F,0.71,
East,2017,East2017,2B,8.9,2x,4.45,F,0.66,
SeahorseWetland,2017,SeahorseWetland2017,1A,9.8,2x,4.9,F,0.79,
SeahorseWetland,2017,SeahorseWetland2017,2A,9.9,2x,4.95,M,0.71,
SeahorseWetland,2017,SeahorseWetland2017,3A,9.8,2x,4.9,F,1.15,
SeahorseWetland,2017,SeahorseWetland2017,4A,10.2,2x,5.1,F,1.02,
SeahorseWetland,2017,SeahorseWetland2017,1B,10.2,2x,5.1,M,0.88,
SeahorseWetland,2017,SeahorseWetland2017,2B,9.7,2x,4.85,F,0.91,
SeahorseWetland,2017,SeahorseWetland2017,3B,10.1,2x,5.05,F,0.8,
SeahorseWetland,2017,SeahorseWetland2017,4B,10,2x,5,M,0.92,
SeahorseWetland,2017,SeahorseWetland2017,1C,9.8,2x,4.9,M,0.8,
