Site,Year,SiteYear,Position,Winglength,Mag,Winglength_2,Sex,AdultMass,Notes
Vulgaris,2012,Vulgaris2012,,,,,M,1.221,
Vulgaris,2012,Vulgaris2012,,,,,M,1.233,
Vulgaris,2012,Vulgaris2012,,,,,M,1.426,
Vulgaris,2012,Vulgaris2012,,,,,M,1.382,
Vulgaris,2012,Vulgaris2012,,,,,M,1.486,
Vulgaris,2012,Vulgaris2012,,,,,M,1.451,
Vulgaris,2012,Vulgaris2012,,,,,M,1.389,
Vulgaris,2012,Vulgaris2012,,,,,M,1.493,
Vulgaris,2012,Vulgaris2012,,,,,M,0.786,
Vulgaris,2012,Vulgaris2012,,,,,M,0.761,
Vulgaris,2012,Vulgaris2012,,,,,M,0.803,
Vulgaris,2012,Vulgaris2012,,,,,M,0.85,
Vulgaris,2012,Vulgaris2012,,,,,M,0.779,
Vulgaris,2012,Vulgaris2012,,,,,M,0.865,
Vulgaris,2012,Vulgaris2012,,,,,M,0.797,
Vulgaris,2012,Vulgaris2012,,,,,M,0.853,
Vulgaris,2012,Vulgaris2012,,,,,M,0.763,
Vulgaris,2012,Vulgaris2012,,,,,M,0.713,
Vulgaris,2012,Vulgaris2012,,,,,M,0.701,
Vulgaris,2012,Vulgaris2012,,,,,M,0.679,
Vulgaris,2012,Vulgaris2012,,,,,M,0.755,
Vulgaris,2012,Vulgaris2012,,,,,M,0.748,
Vulgaris,2012,Vulgaris2012,,,,,M,0.813,
Vulgaris,2012,Vulgaris2012,,,,,M,0.896,
Vulgaris,2012,Vulgaris2012,,,,,M,0.854,
Vulgaris,2012,Vulgaris2012,,,,,M,0.822,
Vulgaris,2012,Vulgaris2012,,,,,M,0.805,
Vulgaris,2012,Vulgaris2012,,,,,M,0.826,
Vulgaris,2012,Vulgaris2012,,,,,M,0.832,
Vulgaris,2012,Vulgaris2012,,,,,M,0.846,
Vulgaris,2012,Vulgaris2012,,,,,M,0.738,
Vulgaris,2012,Vulgaris2012,,,,,F,1.038,
Vulgaris,2012,Vulgaris2012,,,,,F,0.968,
Vulgaris,2012,Vulgaris2012,,,,,F,1.16,
Vulgaris,2012,Vulgaris2012,,,,,F,1.232,
Vulgaris,2012,Vulgaris2012,,,,,F,1.027,
Vulgaris,2012,Vulgaris2012,,,,,F,1.1,
Vulgaris,2012,Vulgaris2012,,,,,F,1.014,
Vulgaris,2012,Vulgaris2012,,,,,F,1.108,
Vulgaris,2012,Vulgaris2012,,,,,F,1.141,
Vulgaris,2012,Vulgaris2012,,,,,F,1.114,
Vulgaris,2012,Vulgaris2012,,,,,F,1.199,
Vulgaris,2012,Vulgaris2012,,,,,F,1.955,
Vulgaris,2012,Vulgaris2012,,,,,F,1.283,
Vulgaris,2012,Vulgaris2012,,,,,F,0.976,
Vulgaris,2012,Vulgaris2012,,,,,F,0.966,
Vulgaris,2012,Vulgaris2012,,,,,F,1.064,
Vulgaris,2012,Vulgaris2012,,,,,F,1.006,
Vulgaris,2012,Vulgaris2012,,,,,F,1.152,
Vulgaris,2012,Vulgaris2012,,,,,F,1.076,
Vulgaris,2012,Vulgaris2012,,,,,F,1.135,
Vulgaris,2012,Vulgaris2012,,,,,F,1.079,
