ID,Site,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LogCount3.5,LnCount3.5,Habitatcategory,Habitatpair,BMhabitat,BMhabitat2,ID2,Site2,Count2,Count2,Count3.52,LogCount3.52,LnCount3.52,Habitatamount2,Habitatcategory2,BMhabitat22,BMhabitat222
24,Golf,10,6/9/2017,17:44,6/9/2017 17:44,6/9/2017,21:55,6/9/2017 21:55,0.174305556,4.18,0,0,0,0,High,2,LowHigh,LowHigh,23,Kforest,0.175694444,10,8,0.954242509,2.197224577,2331,Low,MedLow,LowLow
33,Golf,14,6/12/2017,17:57,6/12/2017 17:57,6/12/2017,21:21,6/12/2017 21:21,0.141666667,3.4,106,109,2.037426498,4.691347882,High,2,LowHigh,LowHigh,34,Kforest,0.142361111,161,165,2.220108088,5.111987788,2331,Low,MedLow,LowLow
42,Golf,17,6/14/2017,18:55,6/14/2017 18:55,6/14/2017,22:05,6/14/2017 22:05,0.131944444,3.17,259,286,2.456366033,5.655991811,High,2,LowHigh,LowHigh,43,Kforest,0.054861111,74,197,2.29666519,5.288267031,2331,Low,MedLow,LowLow
49,Golf,20,6/16/2017,18:28,6/16/2017 18:28,6/16/2017,21:50,6/16/2017 21:50,0.140277778,3.37,5,5,0.698970004,1.609437912,High,2,LowHigh,LowHigh,50,Kforest,0.140972222,10,10,1.041392685,2.397895273,2331,Low,MedLow,LowLow
70,Golf,31,6/21/2017,17:50,6/21/2017 17:50,6/21/2017,21:15,6/21/2017 21:15,0.142361111,3.42,6,6,0.77815125,1.791759469,High,2,LowHigh,LowHigh,71,Kforest,0.142361111,15,15,1.204119983,2.772588722,2331,Low,MedLow,LowLow
83,Golf,35,6/23/2017,18:08,6/23/2017 18:08,6/23/2017,21:15,6/23/2017 21:15,0.129861111,3.12,295,331,2.519827994,5.802118375,High,2,LowHigh,LowHigh,82,Kforest,0.127777778,367,419,2.62324929,6.040254711,2331,Low,MedLow,LowLow
98,Golf,39,6/26/2017,18:12,6/26/2017 18:12,6/26/2017,21:28,6/26/2017 21:28,0.136111111,3.27,63,68,1.832508913,4.219507705,High,2,LowHigh,LowHigh,99,Kforest,0.136805556,70,75,1.880813592,4.33073334,2331,Low,MedLow,LowLow
111,Golf,41,6/28/2017,18:47,6/28/2017 18:47,6/28/2017,22:00,6/28/2017 22:00,0.134027778,3.22,83,90,1.954242509,4.49980967,High,2,LowHigh,LowHigh,110,Kforest,0.131944444,264,292,2.46686762,5.680172609,2331,Low,MedLow,LowLow
116,Golf,42,6/29/2017,17:53,6/29/2017 17:53,6/29/2017,21:03,6/29/2017 21:03,0.131944444,3.17,11,12,1.079181246,2.48490665,High,2,LowHigh,LowHigh,117,Kforest,0.131944444,32,35,1.556302501,3.583518938,2331,Low,MedLow,LowLow
136,Golf,44,7/2/2017,18:49,7/2/2017 18:49,7/2/2017,22:17,7/2/2017 22:17,0.144444444,3.47,0,0,0,0,High,2,LowHigh,LowHigh,135,Kforest,0.144444444,0,0,0,0,2331,Low,MedLow,LowLow
141,Golf,45,7/3/2017,18:08,7/3/2017 18:08,7/3/2017,21:26,7/3/2017 21:26,0.1375,3.3,0,0,0,0,High,2,LowHigh,LowHigh,142,Kforest,0.138194444,4,4,0.698970004,1.609437912,2331,Low,MedLow,LowLow
160,Golf,46,7/5/2017,18:58,7/5/2017 18:58,7/5/2017,22:08,7/5/2017 22:08,0.131944444,3.17,4,4,0.602059991,1.386294361,High,2,LowHigh,LowHigh,159,Kforest,0.129861111,21,24,1.397940009,3.218875825,2331,Low,MedLow,LowLow
165,Golf,47,7/6/2017,17:51,7/6/2017 17:51,7/6/2017,21:05,7/6/2017 21:05,0.134722222,3.23,76,82,1.913813852,4.406719247,High,2,LowHigh,LowHigh,166,Kforest,0.133333333,120,131,2.120573931,4.882801923,2331,Low,MedLow,LowLow
184,Golf,48,7/7/2017,19:08,7/7/2017 19:08,7/7/2017,22:30,7/7/2017 22:30,0.140277778,3.37,17,18,1.255272505,2.890371758,High,2,LowHigh,LowHigh,183,Kforest,0.140972222,103,107,2.033423755,4.682131227,2331,Low,MedLow,LowLow
194,Golf,49,7/9/2017,18:52,7/9/2017 18:52,7/9/2017,22:17,7/9/2017 22:17,0.142361111,3.42,10,10,1,2.302585093,High,2,LowHigh,LowHigh,193,Kforest,0.141666667,8,8,0.954242509,2.197224577,2331,Low,MedLow,LowLow
199,Golf,50,7/10/2017,17:50,7/10/2017 17:50,7/10/2017,21:06,7/10/2017 21:06,0.136111111,3.27,23,25,1.397940009,3.218875825,High,2,LowHigh,LowHigh,200,Kforest,0.1375,79,84,1.929418926,4.442651256,2331,Low,MedLow,LowLow
211,Golf,51,7/12/2017,17:46,7/12/2017 17:46,7/12/2017,21:09,7/12/2017 21:09,0.140972222,3.38,0,0,0,0,High,2,LowHigh,LowHigh,212,Kforest,0.140972222,34,35,1.556302501,3.583518938,2331,Low,MedLow,LowLow
233,Golf,53,7/17/2017,18:18,7/17/2017 18:18,7/17/2017,21:57,7/17/2017 21:57,0.152083333,3.65,5,5,0.698970004,1.609437912,High,2,LowHigh,LowHigh,234,Kforest,0.151388889,3,3,0.602059991,1.386294361,2331,Low,MedLow,LowLow
245,Golf,54,7/19/2017,17:33,7/19/2017 17:33,7/19/2017,20:43,7/19/2017 20:43,0.131944444,3.17,0,0,0,0,High,2,LowHigh,LowHigh,246,Kforest,0.131944444,16,18,1.278753601,2.944438979,2331,Low,MedLow,LowLow
1,Oil,1,6/2/2017,17:45,6/2/2017 17:45,6/2/2017,20:50,6/2/2017 20:50,0.128472222,3.08,106,120,2.079181246,4.787491743,High,3,LowHigh,LowHigh,3,KISS,0.127083333,1,1,0.301029996,0.693147181,8675,Low,HighLow,HighLow
25,Oil,10,6/9/2017,17:52,6/9/2017 17:52,6/9/2017,21:37,6/9/2017 21:37,0.15625,3.75,41,38,1.579783597,3.63758616,High,3,LowHigh,LowHigh,26,KISS,0.135416667,21,23,1.380211242,3.17805383,8675,Low,HighLow,HighLow
41,Oil,17,6/14/2017,18:48,6/14/2017 18:48,6/14/2017,21:55,6/14/2017 21:55,0.129861111,3.12,634,712,2.852479994,6.568077911,High,3,LowHigh,LowHigh,40,KISS,0.127777778,43,49,1.698970004,3.912023005,8675,Low,HighLow,HighLow
66,Oil,29,6/20/2017,18:25,6/20/2017 18:25,6/20/2017,21:44,6/20/2017 21:44,0.138194444,3.32,289,305,2.484299839,5.720311777,High,3,LowHigh,LowHigh,67,KISS,0.111805556,83,108,2.037426498,4.691347882,8675,Low,HighLow,HighLow
97,Oil,39,6/26/2017,18:05,6/26/2017 18:05,6/26/2017,21:15,6/26/2017 21:15,0.131944444,3.17,123,136,2.133538908,4.912654886,High,3,LowHigh,LowHigh,100,KISS,0.125,14,16,1.230448921,2.833213344,8675,Low,HighLow,HighLow
112,Oil,41,6/28/2017,18:57,6/28/2017 18:57,6/28/2017,22:07,6/28/2017 22:07,0.131944444,3.17,771,852,2.930439595,6.747586527,High,3,LowHigh,LowHigh,113,KISS,0.131944444,47,52,1.72427587,3.970291914,8675,Low,HighLow,HighLow
115,Oil,42,6/29/2017,17:43,6/29/2017 17:43,6/29/2017,20:54,6/29/2017 20:54,0.132638889,3.18,98,108,2.033423755,4.682131227,High,3,LowHigh,LowHigh,114,KISS,0.130555556,59,66,1.826074803,4.204692619,8675,Low,HighLow,HighLow
137,Oil,44,7/2/2017,18:57,7/2/2017 18:57,7/2/2017,22:25,7/2/2017 22:25,0.144444444,3.47,0,0,0,0,High,3,LowHigh,LowHigh,138,KISS,0.144444444,0,0,0,0,8675,Low,HighLow,HighLow
140,Oil,45,7/3/2017,18:00,7/3/2017 18:00,7/3/2017,21:16,7/3/2017 21:16,0.136111111,3.27,0,0,0,0,High,3,LowHigh,LowHigh,139,KISS,0.135416667,0,0,0,0,8675,Low,HighLow,HighLow
161,Oil,46,7/5/2017,19:04,7/5/2017 19:04,7/5/2017,22:23,7/5/2017 22:23,0.138194444,3.32,5,5,0.698970004,1.609437912,High,3,LowHigh,LowHigh,162,KISS,0.138888889,0,0,0,0,8675,Low,HighLow,HighLow
164,Oil,47,7/6/2017,17:42,7/6/2017 17:42,7/6/2017,20:52,7/6/2017 20:52,0.131944444,3.17,117,129,2.11058971,4.859812404,High,3,LowHigh,LowHigh,163,KISS,0.132638889,160,176,2.247973266,5.176149733,8675,Low,HighLow,HighLow
