ID,Site,Scatpair,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Count3.5,LogCount3.5,LnCount3.5,Scatcategory,ID2,Site2,Count3.52,LogCount3.52,LnCount3.52,Scatcategory2
193,Kforest,3,49,7/9/2017,18:46,7/9/2017 18:46,7/9/2017,22:10,7/9/2017 22:10,8,0.903089987,2.079441542,High,194,Golf,10,1,2.302585093,Low
200,Kforest,3,50,7/10/2017,17:56,7/10/2017 17:56,7/10/2017,21:14,7/10/2017 21:14,84,1.924279286,4.430816799,High,199,Golf,25,1.397940009,3.218875825,Low
212,Kforest,3,51,7/12/2017,17:53,7/12/2017 17:53,7/12/2017,21:16,7/12/2017 21:16,35,1.544068044,3.555348061,High,211,Golf,0,0,0,Low
234,Kforest,3,53,7/17/2017,18:25,7/17/2017 18:25,7/17/2017,22:03,7/17/2017 22:03,3,0.477121255,1.098612289,High,233,Golf,5,0.698970004,1.609437912,Low
246,Kforest,3,54,7/19/2017,17:38,7/19/2017 17:38,7/19/2017,20:48,7/19/2017 20:48,18,1.255272505,2.890371758,High,245,Golf,0,0,0,Low
15,Waterfall,4,6,6/6/2017,18:11,6/6/2017 18:11,6/6/2017,21:49,6/6/2017 21:49,92,1.963787827,4.521788577,High,16,Seatomato,23,1.361727836,3.135494216,Low
27,Waterfall,4,11,6/10/2017,18:13,6/10/2017 18:13,6/10/2017,21:35,6/10/2017 21:35,18,1.255272505,2.890371758,High,29,Seatomato,25,1.397940009,3.218875825,Low
45,Waterfall,4,18,6/15/2017,18:30,6/15/2017 18:30,6/15/2017,21:57,6/15/2017 21:57,143,2.155336037,4.96284463,High,46,Seatomato,132,2.120573931,4.882801923,Low
87,Waterfall,4,37,6/24/2017,18:07,6/24/2017 18:07,6/24/2017,21:38,6/24/2017 21:38,163,2.212187604,5.093750201,High,88,Seatomato,25,1.397940009,3.218875825,Low
95,Waterfall,4,38,6/25/2017,18:15,6/25/2017 18:15,6/25/2017,21:37,6/25/2017 21:37,167,2.222716471,5.117993812,High,96,Seatomato,211,2.324282455,5.351858133,Low
108,Waterfall,4,41,6/28/2017,18:21,6/28/2017 18:21,6/28/2017,21:30,6/28/2017 21:30,464,2.666517981,6.139884552,High,107,Seatomato,468,2.670245853,6.148468296,Low
119,Waterfall,4,42,6/29/2017,18:19,6/29/2017 18:19,6/29/2017,21:29,6/29/2017 21:29,9,0.954242509,2.197224577,High,120,Seatomato,82,1.913813852,4.406719247,Low
133,Waterfall,4,44,7/2/2017,18:21,7/2/2017 18:21,7/2/2017,21:48,7/2/2017 21:48,0,0,0,High,132,Seatomato,0,0,0,Low
144,Waterfall,4,45,7/3/2017,18:33,7/3/2017 18:33,7/3/2017,21:49,7/3/2017 21:49,2,0.301029996,0.693147181,High,145,Seatomato,0,0,0,Low
157,Waterfall,4,46,7/5/2017,18:33,7/5/2017 18:33,7/5/2017,21:41,7/5/2017 21:41,0,0,0,High,156,Seatomato,6,0.77815125,1.791759469,Low
168,Waterfall,4,47,7/6/2017,18:17,7/6/2017 18:17,7/6/2017,21:30,7/6/2017 21:30,198,2.29666519,5.288267031,High,169,Seatomato,111,2.045322979,4.709530201,Low
181,Waterfall,4,48,7/7/2017,18:38,7/7/2017 18:38,7/7/2017,21:56,7/7/2017 21:56,59,1.770852012,4.077537444,High,180,Seatomato,27,1.431363764,3.295836866,Low
191,Waterfall,4,49,7/9/2017,18:27,7/9/2017 18:27,7/9/2017,21:40,7/9/2017 21:40,4,0.602059991,1.386294361,High,190,Seatomato,9,0.954242509,2.197224577,Low
202,Waterfall,4,50,7/10/2017,18:16,7/10/2017 18:16,7/10/2017,21:28,7/10/2017 21:28,15,1.176091259,2.708050201,High,203,Seatomato,2,0.301029996,0.693147181,Low
