Trap_ID,Site,Closest_WS,Date_Start,Time_Start,Datetime_Start,Date_End,Time_end,Datetime_End,Total_days,Total_hours,Count
46,Waterfall up,Waterfall,6/15/2017,18:21,6/15/2017 18:21,6/15/2017,21:40,6/15/2017 21:40,0.138194444,3.32,28
47,Waterfall,Waterfall,6/15/2017,18:30,6/15/2017 18:30,6/15/2017,21:57,6/15/2017 21:57,0.14375,3.45,141
48,Seatomato,Waterfall,6/15/2017,18:40,6/15/2017 18:40,6/15/2017,22:05,6/15/2017 22:05,0.142361111,3.42,129
49,KISS,DanishMet,6/16/2017,14:00,6/16/2017 14:00,6/16/2017,21:30,6/16/2017 21:30,0.3125,7.5,62
50,Oil,DanishMet,6/16/2017,18:20,6/16/2017 18:20,6/16/2017,21:40,6/16/2017 21:40,0.138888889,3.33,41
51,Golf,DanishMet,6/16/2017,18:28,6/16/2017 18:28,6/16/2017,21:50,6/16/2017 21:50,0.140277778,3.37,5
52,Kforest,DanishMet,6/16/2017,18:32,6/16/2017 18:32,6/16/2017,21:55,6/16/2017 21:55,0.140972222,3.38,10
53,KISS,DanishMet,6/17/2017,13:30,6/17/2017 13:30,6/17/2017,18:00,6/17/2017 18:00,0.1875,4.5,79
54,Moz valley,Vulgaris,6/17/2017,18:39,6/17/2017 18:39,6/17/2017,21:42,6/17/2017 21:42,0.127083333,3.05,0
55,VV2,Vulgaris,6/17/2017,18:50,6/17/2017 18:50,6/17/2017,21:50,6/17/2017 21:50,0.125,3,0
56,VV1,Vulgaris,6/17/2017,18:54,6/17/2017 18:54,6/17/2017,21:55,6/17/2017 21:55,0.125694444,3.02,20
57,Bunny Hill,Vulgaris,6/17/2017,19:00,6/17/2017 19:00,6/17/2017,22:00,6/17/2017 22:00,0.125,3,3
58,KISS,DanishMet,6/18/2017,13:00,6/18/2017 13:00,6/18/2017,18:00,6/18/2017 18:00,0.208333333,5,680
59,VV1,,6/18/2017,18:56,6/18/2017 18:56,6/18/2017,22:00,6/18/2017 22:00,0.127777778,3.07,114
60,Bunny Hill,,6/18/2017,19:00,6/18/2017 19:00,6/18/2017,22:12,6/18/2017 22:12,0.133333333,3.2,56
61,VV2,,6/18/2017,18:50,6/18/2017 18:50,6/18/2017,22:00,6/18/2017 22:00,0.131944444,3.17,0
62,Moz valley,,6/18/2017,18:40,6/18/2017 18:40,6/18/2017,22:12,6/18/2017 22:12,0.147222222,3.53,89
63,Seatomato,,6/18/2017,18:20,6/18/2017 18:20,6/18/2017,21:30,6/18/2017 21:30,0.131944444,3.17,41
64,Camp,,6/18/2017,17:15,6/18/2017 17:15,6/18/2017,22:30,6/18/2017 22:30,0.21875,5.25,143
65,KISS,DanishMet,6/19/2017,12:15,6/19/2017 12:15,6/19/2017,19:09,6/19/2017 19:09,0.2875,6.9,0
66,KISS ,DanishMet,6/20/2017,13:45,6/20/2017 13:45,6/20/2017,18:35,6/20/2017 18:35,0.201388889,4.83,16
67,Kforest,,6/20/2017,18:10,6/20/2017 18:10,6/20/2017,21:57,6/20/2017 21:57,0.157638889,3.78,202
68,Oil,,6/20/2017,18:25,6/20/2017 18:25,6/20/2017,21:44,6/20/2017 21:44,0.138194444,3.32,289
69,KISS,,6/20/2017,18:36,6/20/2017 18:36,6/20/2017,21:17,6/20/2017 21:17,0.111805556,2.68,83
70,KISS,,6/21/2017,15:00,6/21/2017 15:00,6/21/2017,20:38,6/21/2017 20:38,0.234722222,5.63,41
71,Oil,,6/21/2017,17:43,6/21/2017 17:43,6/21/2017,21:03,6/21/2017 21:03,0.138888889,3.33,29
72,Golf,,6/21/2017,17:50,6/21/2017 17:50,6/21/2017,21:15,6/21/2017 21:15,0.142361111,3.42,6
73,Kforest,,6/21/2017,17:55,6/21/2017 17:55,6/21/2017,21:20,6/21/2017 21:20,0.142361111,3.42,15
74,Waterfall up,,6/21/2017,18:05,6/21/2017 18:05,6/21/2017,21:29,6/21/2017 21:29,0.141666667,3.4,7
75,Waterfall,,6/21/2017,18:15,6/21/2017 18:15,6/21/2017,21:33,6/21/2017 21:33,0.1375,3.3,8
76,KISS,,6/22/2017,10:00,6/22/2017 10:00,6/22/2017,17:15,6/22/2017 17:15,0.302083333,7.25,93
77,Seatomato,,6/22/2017,17:50,6/22/2017 17:50,6/22/2017,21:20,6/22/2017 21:20,0.145833333,3.5,241
78,Moz valley,,6/22/2017,18:07,6/22/2017 18:07,6/22/2017,21:34,6/22/2017 21:34,0.14375,3.45,63
79,VV2,,6/22/2017,18:15,6/22/2017 18:15,6/22/2017,21:50,6/22/2017 21:50,0.149305556,3.58,293
80,VV1,,6/22/2017,18:20,6/22/2017 18:20,6/22/2017,21:55,6/22/2017 21:55,0.149305556,3.58,410
81,Bunny Hill,,6/22/2017,18:25,6/22/2017 18:25,6/22/2017,22:05,6/22/2017 22:05,0.152777778,3.67,88
82,Camp,,6/22/2017,18:35,6/22/2017 18:35,6/22/2017,22:10,6/22/2017 22:10,0.149305556,3.58,9
83,KISS,,6/23/2017,14:00,6/23/2017 14:00,6/23/2017,21:30,6/23/2017 21:30,0.3125,7.5,102
84,Kforest,,6/23/2017,18:03,6/23/2017 18:03,6/23/2017,21:07,6/23/2017 21:07,0.127777778,3.07,367
85,Golf,,6/23/2017,18:08,6/23/2017 18:08,6/23/2017,21:15,6/23/2017 21:15,0.129861111,3.12,295
86,Oil,,6/23/2017,18:16,6/23/2017 18:16,6/23/2017,21:22,6/23/2017 21:22,0.129166667,3.1,672
87,KISS,,6/24/2017,11:30,6/24/2017 11:30,6/24/2017,18:10,6/24/2017 18:10,0.277777778,6.67,194
88,Waterfall up,,6/24/2017,18:05,6/24/2017 18:05,6/24/2017,21:30,6/24/2017 21:30,0.142361111,3.42,55
89,Waterfall,,6/24/2017,18:07,6/24/2017 18:07,6/24/2017,21:38,6/24/2017 21:38,0.146527778,3.52,164
90,Seatomato,,6/24/2017,18:25,6/24/2017 18:25,6/24/2017,21:46,6/24/2017 21:46,0.139583333,3.35,24
91,Moz valley,,6/24/2017,18:45,6/24/2017 18:45,6/24/2017,22:05,6/24/2017 22:05,0.138888889,3.33,115
92,VV1,,6/24/2017,18:50,6/24/2017 18:50,6/24/2017,22:22,6/24/2017 22:22,0.147222222,3.53,518
93,VV2,,6/24/2017,18:55,6/24/2017 18:55,6/24/2017,22:16,6/24/2017 22:16,0.139583333,3.35,175
94,Bunny Hill,,6/24/2017,19:02,6/24/2017 19:02,6/24/2017,22:28,6/24/2017 22:28,0.143055556,3.43,177
95,Camp,,6/24/2017,19:20,6/24/2017 19:20,6/24/2017,22:45,6/24/2017 22:45,0.142361111,3.42,195
96,Waterfall up,,6/25/2017,18:18,6/25/2017 18:18,6/25/2017,21:25,6/25/2017 21:25,0.129861111,3.12,14
97,Waterfall,,6/25/2017,18:15,6/25/2017 18:15,6/25/2017,21:37,6/25/2017 21:37,0.140277778,3.37,161
98,Seatomato,,6/25/2017,18:34,6/25/2017 18:34,6/25/2017,21:46,6/25/2017 21:46,0.133333333,3.2,193
99,Oil,,6/26/2017,18:05,6/26/2017 18:05,6/26/2017,21:15,6/26/2017 21:15,0.131944444,3.17,123
100,Golf,,6/26/2017,18:12,6/26/2017 18:12,6/26/2017,21:28,6/26/2017 21:28,0.136111111,3.27,63
101,Kforest,,6/26/2017,18:15,6/26/2017 18:15,6/26/2017,21:32,6/26/2017 21:32,0.136805556,3.28,70
102,KISS,,6/26/2017,18:00,6/26/2017 18:00,6/26/2017,21:00,6/26/2017 21:00,0.125,3,14
103,KISS,,6/27/2017,11:30,6/27/2017 11:30,6/27/2017,18:00,6/27/2017 18:00,0.270833333,6.5,0
104,Moz valley,,6/28/2017,17:23,6/28/2017 17:23,6/28/2017,20:38,6/28/2017 20:38,0.135416667,3.25,55
105,VV2,,6/28/2017,17:33,6/28/2017 17:33,6/28/2017,20:45,6/28/2017 20:45,0.133333333,3.2,28
106,VV1,,6/28/2017,17:38,6/28/2017 17:38,6/28/2017,20:50,6/28/2017 20:50,0.133333333,3.2,37
107,Bunny Hill,,6/28/2017,17:42,6/28/2017 17:42,6/28/2017,20:56,6/28/2017 20:56,0.134722222,3.23,149
108,Camp,,6/28/2017,17:58,6/28/2017 17:58,6/28/2017,21:09,6/28/2017 21:09,0.132638889,3.18,555
109,Seatomato,,6/28/2017,18:07,6/28/2017 18:07,6/28/2017,21:19,6/28/2017 21:19,0.133333333,3.2,428
110,Waterfall,,6/28/2017,18:21,6/28/2017 18:21,6/28/2017,21:30,6/28/2017 21:30,0.13125,3.15,418
111,Waterfall up,,6/28/2017,18:32,6/28/2017 18:32,6/28/2017,21:42,6/28/2017 21:42,0.131944444,3.17,220
112,Kforest,,6/28/2017,18:43,6/28/2017 18:43,6/28/2017,21:53,6/28/2017 21:53,0.131944444,3.17,264
113,Golf,,6/28/2017,18:47,6/28/2017 18:47,6/28/2017,22:00,6/28/2017 22:00,0.134027778,3.22,83
114,Oil,,6/28/2017,18:57,6/28/2017 18:57,6/28/2017,22:07,6/28/2017 22:07,0.131944444,3.17,771
115,KISS,,6/28/2017,19:03,6/28/2017 19:03,6/28/2017,22:13,6/28/2017 22:13,0.131944444,3.17,47
116,KISS,,6/29/2017,17:39,6/29/2017 17:39,6/29/2017,20:47,6/29/2017 20:47,0.130555556,3.13,59
117,Oil,,6/29/2017,17:43,6/29/2017 17:43,6/29/2017,20:54,6/29/2017 20:54,0.132638889,3.18,98
118,Golf,,6/29/2017,17:53,6/29/2017 17:53,6/29/2017,21:03,6/29/2017 21:03,0.131944444,3.17,11
119,Kforest,,6/29/2017,17:59,6/29/2017 17:59,6/29/2017,21:09,6/29/2017 21:09,0.131944444,3.17,32
120,Waterfall up,,6/29/2017,18:09,6/29/2017 18:09,6/29/2017,21:18,6/29/2017 21:18,0.13125,3.15,2
121,Waterfall,,6/29/2017,18:19,6/29/2017 18:19,6/29/2017,21:29,6/29/2017 21:29,0.131944444,3.17,8
122,Seatomato,,6/29/2017,18:30,6/29/2017 18:30,6/29/2017,21:42,6/29/2017 21:42,0.133333333,3.2,75
123,Camp,,6/29/2017,18:38,6/29/2017 18:38,6/29/2017,21:50,6/29/2017 21:50,0.133333333,3.2,62
124,Bunny Hill,,6/29/2017,18:52,6/29/2017 18:52,6/29/2017,22:04,6/29/2017 22:04,0.133333333,3.2,38
125,VV2,,6/29/2017,19:02,6/29/2017 19:02,6/29/2017,22:15,6/29/2017 22:15,0.134027778,3.22,0
126,VV1,,6/29/2017,19:07,6/29/2017 19:07,6/29/2017,22:20,6/29/2017 22:20,0.134027778,3.22,7
127,Moz valley,,6/29/2017,19:13,6/29/2017 19:13,6/29/2017,22:24,6/29/2017 22:24,0.132638889,3.18,44
128,Oil,,6/30/2017,14:57,6/30/2017 14:57,6/30/2017,20:34,6/30/2017 20:34,0.234027778,5.62,30
129,Moz valley,,7/2/2017,17:25,7/2/2017 17:25,7/2/2017,20:52,7/2/2017 20:52,0.14375,3.45,1
130,VV2,,7/2/2017,17:32,7/2/2017 17:32,7/2/2017,21:02,7/2/2017 21:02,0.145833333,3.5,0
131,VV1,,7/2/2017,17:38,7/2/2017 17:38,7/2/2017,21:06,7/2/2017 21:06,0.144444444,3.47,0
132,Bunny Hill,,7/2/2017,17:43,7/2/2017 17:43,7/2/2017,21:12,7/2/2017 21:12,0.145138889,3.48,0
133,Camp,,7/2/2017,18:04,7/2/2017 18:04,7/2/2017,21:26,7/2/2017 21:26,0.140277778,3.37,0
134,Seatomato,,7/2/2017,18:10,7/2/2017 18:10,7/2/2017,21:36,7/2/2017 21:36,0.143055556,3.43,0
135,Waterfall,,7/2/2017,18:21,7/2/2017 18:21,7/2/2017,21:48,7/2/2017 21:48,0.14375,3.45,0
136,Waterfall up,,7/2/2017,18:32,7/2/2017 18:32,7/2/2017,22:00,7/2/2017 22:00,0.144444444,3.47,0
137,Kforest,,7/2/2017,18:43,7/2/2017 18:43,7/2/2017,22:11,7/2/2017 22:11,0.144444444,3.47,0
138,Golf,,7/2/2017,18:49,7/2/2017 18:49,7/2/2017,22:17,7/2/2017 22:17,0.144444444,3.47,0
139,Oil,,7/2/2017,18:57,7/2/2017 18:57,7/2/2017,22:25,7/2/2017 22:25,0.144444444,3.47,0
140,KISS,,7/2/2017,19:03,7/2/2017 19:03,7/2/2017,22:31,7/2/2017 22:31,0.144444444,3.47,0
141,KISS,,7/3/2017,17:53,7/3/2017 17:53,7/3/2017,21:08,7/3/2017 21:08,0.135416667,3.25,0
142,Oil,,7/3/2017,18:00,7/3/2017 18:00,7/3/2017,21:16,7/3/2017 21:16,0.136111111,3.27,0
143,Golf,,7/3/2017,18:08,7/3/2017 18:08,7/3/2017,21:26,7/3/2017 21:26,0.1375,3.3,0
144,Kforest,,7/3/2017,18:13,7/3/2017 18:13,7/3/2017,21:32,7/3/2017 21:32,0.138194444,3.32,4
