ID,Site,ClosestWS,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LnCount3.5
168,Waterfall,Waterfall,47,7/6/2017,18:17,7/6/2017 18:17,7/6/2017,21:30,7/6/2017 21:30,0.134027778,3.22,182,197.826087,5.292430508
169,Seatomato,Waterfall,47,7/6/2017,18:29,7/6/2017 18:29,7/6/2017,21:47,7/6/2017 21:47,0.1375,3.3,105,111.3636364,4.721740365
170,Camp,Waterfall,47,7/6/2017,18:37,7/6/2017 18:37,7/6/2017,21:55,7/6/2017 21:55,0.1375,3.3,160,169.6969697,5.139889877
171,Bunny Hill,Vulgaris,47,7/6/2017,18:52,7/6/2017 18:52,7/6/2017,22:10,7/6/2017 22:10,0.1375,3.3,199,211.0606061,5.356872111
172,VV2,Vulgaris,47,7/6/2017,19:01,7/6/2017 19:01,7/6/2017,22:21,7/6/2017 22:21,0.138888889,3.33,95,99.84984985,4.613632776
173,VV1,Vulgaris,47,7/6/2017,19:06,7/6/2017 19:06,7/6/2017,22:26,7/6/2017 22:26,0.138888889,3.33,49,51.5015015,3.960841769
174,Moz valley,Vulgaris,47,7/6/2017,19:09,7/6/2017 19:09,7/6/2017,22:30,7/6/2017 22:30,0.139583333,3.35,23,24.02985075,3.220069142
175,Moz valley,Vulgaris,48,7/7/2017,17:38,7/7/2017 17:38,7/7/2017,21:02,7/7/2017 21:02,0.141666667,3.4,29,29.85294118,3.429232084
176,VV2,Vulgaris,48,7/7/2017,17:49,7/7/2017 17:49,7/7/2017,21:11,7/7/2017 21:11,0.140277778,3.37,40,41.54302671,3.750515957
177,VV1,Vulgaris,48,7/7/2017,17:54,7/7/2017 17:54,7/7/2017,21:16,7/7/2017 21:16,0.140277778,3.37,114,118.3976261,4.782459319
178,Bunny Hill,Vulgaris,48,7/7/2017,18:00,7/7/2017 18:00,7/7/2017,21:23,7/7/2017 21:23,0.140972222,3.38,12,12.4260355,2.59719577
179,Camp,Waterfall,48,7/7/2017,18:16,7/7/2017 18:16,7/7/2017,21:35,7/7/2017 21:35,0.138194444,3.32,57,60.09036145,4.112354103
180,Seatomato,Waterfall,48,7/7/2017,18:26,7/7/2017 18:26,7/7/2017,21:43,7/7/2017 21:43,0.136805556,3.28,25,26.67682927,3.320595575
181,Waterfall,Waterfall,48,7/7/2017,18:38,7/7/2017 18:38,7/7/2017,21:56,7/7/2017 21:56,0.1375,3.3,56,59.39393939,4.100888759
182,Waterfall up,Waterfall,48,7/7/2017,18:49,7/7/2017 18:49,7/7/2017,22:12,7/7/2017 22:12,0.140972222,3.38,40,41.42011834,3.747622739
183,Kforest,Waterfall,48,7/7/2017,19:02,7/7/2017 19:02,7/7/2017,22:25,7/7/2017 22:25,0.140972222,3.38,103,106.6568047,4.678948433
184,Golf,Waterfall,48,7/7/2017,19:08,7/7/2017 19:08,7/7/2017,22:30,7/7/2017 22:30,0.140277778,3.37,17,17.65578635,2.926156358
185,KISS,Airport,48,7/7/2017,19:22,7/7/2017 19:22,7/7/2017,22:43,7/7/2017 22:43,0.139583333,3.35,11,11.49253731,2.525131451
186,Moz valley,Vulgaris,49,7/9/2017,17:27,7/9/2017 17:27,7/9/2017,20:51,7/9/2017 20:51,0.141666667,3.4,24,24.70588235,3.246719851
187,VV2,Vulgaris,49,7/9/2017,17:38,7/9/2017 17:38,7/9/2017,21:00,7/9/2017 21:00,0.140277778,3.37,0,0,0
188,Bunny Hill,Vulgaris,49,7/9/2017,17:48,7/9/2017 17:48,7/9/2017,21:12,7/9/2017 21:12,0.141666667,3.4,0,0,0
189,Camp,Waterfall,49,7/9/2017,21:00,7/9/2017 21:00,7/9/2017,23:30,7/9/2017 23:30,0.104166667,2.5,0,0,0
190,Seatomato,Waterfall,49,7/9/2017,18:15,7/9/2017 18:15,7/9/2017,21:28,7/9/2017 21:28,0.134027778,3.22,8,8.695652174,2.271677556
191,Waterfall,Waterfall,49,7/9/2017,18:27,7/9/2017 18:27,7/9/2017,21:40,7/9/2017 21:40,0.134027778,3.22,4,4.347826087,1.676690139
192,Waterfall up,Waterfall,49,7/9/2017,18:37,7/9/2017 18:37,7/9/2017,21:52,7/9/2017 21:52,0.135416667,3.25,0,0,0
193,Kforest,Waterfall,49,7/9/2017,18:46,7/9/2017 18:46,7/9/2017,22:10,7/9/2017 22:10,0.141666667,3.4,8,8.235294118,2.223032461
194,Golf,Waterfall,49,7/9/2017,18:52,7/9/2017 18:52,7/9/2017,22:17,7/9/2017 22:17,0.142361111,3.42,10,10.23391813,2.418937606
195,Oil,Airport,49,7/9/2017,19:02,7/9/2017 19:02,7/9/2017,22:26,7/9/2017 22:26,0.141666667,3.4,21,21.61764706,3.118730445
196,KISS,Airport,49,7/9/2017,19:09,7/9/2017 19:09,7/9/2017,22:37,7/9/2017 22:37,0.144444444,3.47,13,13.11239193,2.647053272
197,KISS,Airport,50,7/10/2017,17:34,7/10/2017 17:34,7/10/2017,20:50,7/10/2017 20:50,0.136111111,3.27,28,29.96941896,3.433000232
198,Oil,Airport,50,7/10/2017,17:41,7/10/2017 17:41,7/10/2017,20:58,7/10/2017 20:58,0.136805556,3.28,34,36.2804878,3.618470075
199,Golf,Waterfall,50,7/10/2017,17:50,7/10/2017 17:50,7/10/2017,21:06,7/10/2017 21:06,0.136111111,3.27,23,24.617737,3.243284963
200,Kforest,Waterfall,50,7/10/2017,17:56,7/10/2017 17:56,7/10/2017,21:14,7/10/2017 21:14,0.1375,3.3,79,83.78787879,4.440152594
201,Waterfall up,Waterfall,50,7/10/2017,18:07,7/10/2017 18:07,7/10/2017,21:26,7/10/2017 21:26,0.138194444,3.32,3,3.162650602,1.426152035
202,Waterfall,Waterfall,50,7/10/2017,18:16,7/10/2017 18:16,7/10/2017,21:28,7/10/2017 21:28,0.133333333,3.2,14,15.3125,2.791931685
203,Seatomato,Waterfall,50,7/10/2017,18:28,7/10/2017 18:28,7/10/2017,21:39,7/10/2017 21:39,0.132638889,3.18,2,2.201257862,1.163543814
204,Bunny Hill,Vulgaris,50,7/10/2017,18:43,7/10/2017 18:43,7/10/2017,21:54,7/10/2017 21:54,0.132638889,3.18,0,0,0
205,VV2,Vulgaris,50,7/10/2017,18:54,7/10/2017 18:54,7/10/2017,22:03,7/10/2017 22:03,0.13125,3.15,0,0,0
206,VV1,Vulgaris,50,7/10/2017,18:59,7/10/2017 18:59,7/10/2017,22:08,7/10/2017 22:08,0.13125,3.15,1,1.111111111,0.747214402
207,Moz valley,Vulgaris,50,7/10/2017,19:05,7/10/2017 19:05,7/10/2017,22:13,7/10/2017 22:13,0.130555556,3.13,28,31.30990415,3.475373813
208,Camp,Waterfall,50,7/10/2017,19:28,7/10/2017 19:28,7/10/2017,23:30,7/10/2017 23:30,0.168055556,4.03,21,18.2382134,2.956898582
209,KISS,Airport,51,7/12/2017,17:28,7/12/2017 17:28,7/12/2017,20:50,7/12/2017 20:50,0.140277778,3.37,2,2.077151335,1.124004278
210,Oil,Airport,51,7/12/2017,17:35,7/12/2017 17:35,7/12/2017,21:01,7/12/2017 21:01,0.143055556,3.43,2,2.040816327,1.112126008
211,Golf,Waterfall,51,7/12/2017,17:46,7/12/2017 17:46,7/12/2017,21:09,7/12/2017 21:09,0.140972222,3.38,0,0,0
212,Kforest,Waterfall,51,7/12/2017,17:53,7/12/2017 17:53,7/12/2017,21:16,7/12/2017 21:16,0.140972222,3.38,34,35.20710059,3.589255249
213,Waterfall up,Waterfall,51,7/12/2017,18:05,7/12/2017 18:05,7/12/2017,21:28,7/12/2017 21:28,0.140972222,3.38,5,5.177514793,1.820916054
214,Waterfall,Waterfall,51,7/12/2017,18:14,7/12/2017 18:14,7/12/2017,21:37,7/12/2017 21:37,0.140972222,3.38,24,24.85207101,3.252390714
215,Seatomato,Waterfall,51,7/12/2017,18:26,7/12/2017 18:26,7/12/2017,21:49,7/12/2017 21:49,0.140972222,3.38,11,11.39053254,2.516932677
216,Bunny Hill,Vulgaris,51,7/12/2017,18:51,7/12/2017 18:51,7/12/2017,22:05,7/12/2017 22:05,0.134722222,3.23,5,5.417956656,1.859099789
217,VV1,Vulgaris,51,7/12/2017,19:07,7/12/2017 19:07,7/12/2017,22:20,7/12/2017 22:20,0.134027778,3.22,59,64.13043478,4.176391948
218,Moz valley,Vulgaris,51,7/12/2017,19:12,7/12/2017 19:12,7/12/2017,22:28,7/12/2017 22:28,0.136111111,3.27,39,41.74311927,3.75520823
219,Camp,Waterfall,51,7/12/2017,18:34,7/12/2017 18:34,7/12/2017,23:00,7/12/2017 23:00,0.184722222,4.43,28,22.12189616,3.140780054
220,Moz valley,Vulgaris,52,7/14/2017,17:32,7/14/2017 17:32,7/14/2017,21:12,7/14/2017 21:12,0.152777778,3.67,36,34.33242507,3.564801099
221,VV2,Vulgaris,52,7/14/2017,17:41,7/14/2017 17:41,7/14/2017,21:20,7/14/2017 21:20,0.152083333,3.65,157,150.5479452,5.020902045
222,VV1,Vulgaris,52,7/14/2017,17:46,7/14/2017 17:46,7/14/2017,21:26,7/14/2017 21:26,0.152777778,3.67,129,123.0245232,4.820479313
223,Bunny Hill,Vulgaris,52,7/14/2017,17:53,7/14/2017 17:53,7/14/2017,21:33,7/14/2017 21:33,0.152777778,3.67,76,72.47956403,4.297007327
224,Seatomato,Waterfall,52,7/14/2017,18:13,7/14/2017 18:13,7/14/2017,21:57,7/14/2017 21:57,0.155555556,3.73,8,7.506702413,2.140854372
225,Camp,Waterfall,52,7/14/2017,18:05,7/14/2017 18:05,7/14/2017,21:48,7/14/2017 21:48,0.154861111,3.72,0,0,0
226,Waterfall,Waterfall,52,7/14/2017,18:23,7/14/2017 18:23,7/14/2017,22:09,7/14/2017 22:09,0.156944444,3.77,0,0,0
227,Waterfall up,Waterfall,52,7/14/2017,18:32,7/14/2017 18:32,7/14/2017,22:20,7/14/2017 22:20,0.158333333,3.8,3,2.763157895,1.325258471
228,Kforest,Waterfall,52,7/14/2017,18:42,7/14/2017 18:42,7/14/2017,22:31,7/14/2017 22:31,0.159027778,3.82,2,1.832460733,1.041145851
229,Oil,Airport,52,7/14/2017,18:58,7/14/2017 18:58,7/14/2017,22:47,7/14/2017 22:47,0.159027778,3.82,1,0.916230366,0.650359905
230,KISS,Airport,52,7/14/2017,19:05,7/14/2017 19:05,7/14/2017,22:54,7/14/2017 22:54,0.159027778,3.82,0,0,0
231,KISS,Airport,53,7/17/2017,17:40,7/17/2017 17:40,7/17/2017,21:15,7/17/2017 21:15,0.149305556,3.58,11,10.75418994,2.464209768
232,Oil,Airport,53,7/17/2017,18:10,7/17/2017 18:10,7/17/2017,21:36,7/17/2017 21:36,0.143055556,3.43,7,7.142857143,2.097141119
233,Golf,Waterfall,53,7/17/2017,18:18,7/17/2017 18:18,7/17/2017,21:57,7/17/2017 21:57,0.152083333,3.65,5,4.794520548,1.756912738
234,Kforest,Waterfall,53,7/17/2017,18:25,7/17/2017 18:25,7/17/2017,22:03,7/17/2017 22:03,0.151388889,3.63,3,2.892561983,1.359067548
235,Waterfall up,Waterfall,53,7/17/2017,18:39,7/17/2017 18:39,7/17/2017,22:14,7/17/2017 22:14,0.149305556,3.58,0,0,0
236,Waterfall,Waterfall,53,7/17/2017,18:46,7/17/2017 18:46,7/17/2017,22:23,7/17/2017 22:23,0.150694444,3.62,0,0,0
237,Seatomato,Waterfall,53,7/17/2017,18:57,7/17/2017 18:57,7/17/2017,22:33,7/17/2017 22:33,0.15,3.6,0,0,0
238,Bunny Hill,Vulgaris,53,7/17/2017,19:12,7/17/2017 19:12,7/17/2017,22:40,7/17/2017 22:40,0.144444444,3.47,0,0,0
239,VV2,Vulgaris,53,7/17/2017,19:22,7/17/2017 19:22,7/17/2017,22:54,7/17/2017 22:54,0.147222222,3.53,0,0,0
240,VV1,Vulgaris,53,7/17/2017,19:31,7/17/2017 19:31,7/17/2017,22:59,7/17/2017 22:59,0.144444444,3.47,0,0,0
241,Moz valley,Vulgaris,53,7/17/2017,19:36,7/17/2017 19:36,7/17/2017,23:06,7/17/2017 23:06,0.145833333,3.5,1,1,0.693147181
242,Camp,Waterfall,53,7/17/2017,19:55,7/17/2017 19:55,7/17/2017,23:30,7/17/2017 23:30,0.149305556,3.58,0,0,0
243,KISS,Airport,54,7/19/2017,17:20,7/19/2017 17:20,7/19/2017,20:20,7/19/2017 20:20,0.125,3,0,0,0
244,Oil,Airport,54,7/19/2017,17:26,7/19/2017 17:26,7/19/2017,20:35,7/19/2017 20:35,0.13125,3.15,0,0,0
245,Golf,Waterfall,54,7/19/2017,17:33,7/19/2017 17:33,7/19/2017,20:43,7/19/2017 20:43,0.131944444,3.17,0,0,0
246,Kforest,Waterfall,54,7/19/2017,17:38,7/19/2017 17:38,7/19/2017,20:48,7/19/2017 20:48,0.131944444,3.17,16,17.66561514,2.926683069
247,Waterfall up,Waterfall,54,7/19/2017,17:50,7/19/2017 17:50,7/19/2017,20:59,7/19/2017 20:59,0.13125,3.15,8,8.888888889,2.291411792
248,Waterfall,Waterfall,54,7/19/2017,17:58,7/19/2017 17:58,7/19/2017,21:09,7/19/2017 21:09,0.132638889,3.18,8,8.805031447,2.282895667
249,Seatomato,Waterfall,54,7/19/2017,18:10,7/19/2017 18:10,7/19/2017,21:23,7/19/2017 21:23,0.134027778,3.22,3,3.260869565,1.449473263
250,Bunny Hill,Vulgaris,54,7/19/2017,18:21,7/19/2017 18:21,7/19/2017,21:37,7/19/2017 21:37,0.136111111,3.27,22,23.54740061,3.200605967
251,VV2,Vulgaris,54,7/19/2017,18:28,7/19/2017 18:28,7/19/2017,21:43,7/19/2017 21:43,0.135416667,3.25,52,56,4.043051268
252,VV1,Vulgaris,54,7/19/2017,18:34,7/19/2017 18:34,7/19/2017,21:49,7/19/2017 21:49,0.135416667,3.25,39,42,3.761200116
253,Moz valley,Vulgaris,54,7/19/2017,18:39,7/19/2017 18:39,7/19/2017,21:56,7/19/2017 21:56,0.136805556,3.28,45,48.01829268,3.892193549
254,Camp,Waterfall,54,7/19/2017,18:58,7/19/2017 18:58,7/19/2017,22:22,7/19/2017 22:22,0.141666667,3.4,0,0,0
