ID,Site,ClosestWS,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LnCount3.5
39,Bunny Hill,Vulgaris,16,6/13/2017,18:25,6/13/2017 18:25,6/13/2017,21:26,6/13/2017 21:26,0.125694444,3.02,469,543.5430464,6.299946996
40,KISS,Airport,17,6/14/2017,18:42,6/14/2017 18:42,6/14/2017,21:46,6/14/2017 21:46,0.127777778,3.07,43,49.0228013,3.912478928
41,Oil,Airport,17,6/14/2017,18:48,6/14/2017 18:48,6/14/2017,21:55,6/14/2017 21:55,0.129861111,3.12,634,711.2179487,6.568383972
42,Golf,Waterfall,17,6/14/2017,18:55,6/14/2017 18:55,6/14/2017,22:05,6/14/2017 22:05,0.131944444,3.17,259,285.9621451,5.659350308
43,Kforest,Waterfall,17,6/14/2017,19:01,6/14/2017 19:01,6/14/2017,20:20,6/14/2017 20:20,0.054861111,1.32,74,196.2121212,5.284279907
44,Waterfall up,Waterfall,18,6/15/2017,18:21,6/15/2017 18:21,6/15/2017,21:40,6/15/2017 21:40,0.138194444,3.32,28,29.51807229,3.418319042
45,Waterfall,Waterfall,18,6/15/2017,18:30,6/15/2017 18:30,6/15/2017,21:57,6/15/2017 21:57,0.14375,3.45,141,143.0434783,4.970115186
46,Seatomato,Waterfall,18,6/15/2017,18:40,6/15/2017 18:40,6/15/2017,22:05,6/15/2017 22:05,0.142361111,3.42,129,132.0175439,4.890481028
47,KISS,Airport,19,6/16/2017,14:00,6/16/2017 14:00,6/16/2017,21:30,6/16/2017 21:30,0.3125,7.5,62,28.93333333,3.398972687
48,Oil,Airport,20,6/16/2017,18:20,6/16/2017 18:20,6/16/2017,21:40,6/16/2017 21:40,0.138888889,3.33,41,43.09309309,3.786303151
49,Golf,Waterfall,20,6/16/2017,18:28,6/16/2017 18:28,6/16/2017,21:50,6/16/2017 21:50,0.140277778,3.37,5,5.192878338,1.823399977
50,Kforest,Waterfall,20,6/16/2017,18:32,6/16/2017 18:32,6/16/2017,21:55,6/16/2017 21:55,0.140972222,3.38,10,10.35502959,2.429660781
51,KISS,Airport,21,6/17/2017,13:30,6/17/2017 13:30,6/17/2017,18:00,6/17/2017 18:00,0.1875,4.5,79,61.44444444,4.134277273
52,Moz valley,Vulgaris,22,6/17/2017,18:39,6/17/2017 18:39,6/17/2017,21:42,6/17/2017 21:42,0.127083333,3.05,0,0,0
53,VV2,Vulgaris,22,6/17/2017,18:50,6/17/2017 18:50,6/17/2017,21:50,6/17/2017 21:50,0.125,3,0,0,0
54,VV1,Vulgaris,22,6/17/2017,18:54,6/17/2017 18:54,6/17/2017,21:55,6/17/2017 21:55,0.125694444,3.02,20,23.17880795,3.185476545
55,Bunny Hill,Vulgaris,22,6/17/2017,19:00,6/17/2017 19:00,6/17/2017,22:00,6/17/2017 22:00,0.125,3,3,3.5,1.504077397
56,KISS,Airport,25,6/18/2017,13:00,6/18/2017 13:00,6/18/2017,18:00,6/18/2017 18:00,0.208333333,5,680,476,6.167516491
57,VV1,Vulgaris,26,6/18/2017,18:56,6/18/2017 18:56,6/18/2017,22:00,6/18/2017 22:00,0.127777778,3.07,114,129.9674267,4.874948641
58,Bunny Hill,Vulgaris,26,6/18/2017,19:00,6/18/2017 19:00,6/18/2017,22:12,6/18/2017 22:12,0.133333333,3.2,56,61.25,4.131158535
59,VV2,Vulgaris,26,6/18/2017,18:50,6/18/2017 18:50,6/18/2017,22:00,6/18/2017 22:00,0.131944444,3.17,0,0,0
60,Moz valley,Vulgaris,26,6/18/2017,18:40,6/18/2017 18:40,6/18/2017,22:12,6/18/2017 22:12,0.147222222,3.53,89,88.24362606,4.491370001
61,Seatomato,Waterfall,26,6/18/2017,18:20,6/18/2017 18:20,6/18/2017,21:30,6/18/2017 21:30,0.131944444,3.17,41,45.2681388,3.834453577
62,Camp,Waterfall,26,6/18/2017,17:15,6/18/2017 17:15,6/18/2017,22:30,6/18/2017 22:30,0.21875,5.25,143,95.33333333,4.567814399
63,KISS,Airport,27,6/19/2017,12:15,6/19/2017 12:15,6/19/2017,19:09,6/19/2017 19:09,0.2875,6.9,0,0,0
64,KISS,Airport,28,6/20/2017,13:45,6/20/2017 13:45,6/20/2017,18:35,6/20/2017 18:35,0.201388889,4.83,16,11.5942029,2.533236621
65,Kforest,Waterfall,29,6/20/2017,18:10,6/20/2017 18:10,6/20/2017,21:57,6/20/2017 21:57,0.157638889,3.78,202,187.037037,5.236638949
66,Oil,Airport,29,6/20/2017,18:25,6/20/2017 18:25,6/20/2017,21:44,6/20/2017 21:44,0.138194444,3.32,289,304.6686747,5.722501753
67,KISS,Airport,29,6/20/2017,18:36,6/20/2017 18:36,6/20/2017,21:17,6/20/2017 21:17,0.111805556,2.68,83,108.3955224,4.69496996
68,KISS,Airport,30,6/21/2017,15:00,6/21/2017 15:00,6/21/2017,20:38,6/21/2017 20:38,0.234722222,5.63,41,25.48845471,3.276708967
69,Oil,Airport,31,6/21/2017,17:43,6/21/2017 17:43,6/21/2017,21:03,6/21/2017 21:03,0.138888889,3.33,29,30.48048048,3.449367686
70,Golf,Waterfall,31,6/21/2017,17:50,6/21/2017 17:50,6/21/2017,21:15,6/21/2017 21:15,0.142361111,3.42,6,6.140350877,1.965761918
71,Kforest,Waterfall,31,6/21/2017,17:55,6/21/2017 17:55,6/21/2017,21:20,6/21/2017 21:20,0.142361111,3.42,15,15.35087719,2.794281547
72,Waterfall up,Waterfall,31,6/21/2017,18:05,6/21/2017 18:05,6/21/2017,21:29,6/21/2017 21:29,0.141666667,3.4,7,7.205882353,2.104851257
73,Waterfall,Waterfall,31,6/21/2017,18:15,6/21/2017 18:15,6/21/2017,21:33,6/21/2017 21:33,0.1375,3.3,8,8.484848485,2.249695629
74,KISS,Airport,32,6/22/2017,10:00,6/22/2017 10:00,6/22/2017,17:15,6/22/2017 17:15,0.302083333,7.25,93,44.89655172,3.826389988
75,Seatomato,Waterfall,33,6/22/2017,17:50,6/22/2017 17:50,6/22/2017,21:20,6/22/2017 21:20,0.145833333,3.5,241,241,5.488937726
76,Moz valley,Vulgaris,33,6/22/2017,18:07,6/22/2017 18:07,6/22/2017,21:34,6/22/2017 21:34,0.14375,3.45,63,63.91304348,4.173048582
77,VV2,Vulgaris,33,6/22/2017,18:15,6/22/2017 18:15,6/22/2017,21:50,6/22/2017 21:50,0.149305556,3.58,293,286.452514,5.661057678
78,VV1,Vulgaris,33,6/22/2017,18:20,6/22/2017 18:20,6/22/2017,21:55,6/22/2017 21:55,0.149305556,3.58,410,400.8379888,5.996048995
79,Bunny Hill,Vulgaris,33,6/22/2017,18:25,6/22/2017 18:25,6/22/2017,22:05,6/22/2017 22:05,0.152777778,3.67,88,83.92370572,4.441753274
