Date,Day,Site,Year,SiteYear,Sample,Mass,Stage
5-Jun-11,5-Jun-17,Black,2011,Black2011,44,1.502,Larvae
5-Jun-11,5-Jun-17,Black,2011,Black2011,45,1.041,Larvae
5-Jun-11,5-Jun-17,Black,2011,Black2011,46,1.177,Larvae
5-Jun-11,5-Jun-17,Black,2011,Black2011,47,1.627,Larvae
5-Jun-11,5-Jun-17,Black,2011,Black2011,48,1.316,Larvae
5-Jun-11,5-Jun-17,Black,2011,Black2011,49,1.538,Larvae
5-Jun-11,5-Jun-17,Black,2011,Black2011,50,1.423,Larvae
5-Jun-11,5-Jun-17,Black,2011,Black2011,51,1.388,Larvae
13-Jun-11,13-Jun-17,Black,2011,Black2011,1,1.277,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,2,1.26,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,3,1.711,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,4,1.43,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,5,1.148,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,6,1.078,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,7,0.968,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,8,1.255,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,9,1.657,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,10,1.5,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,11,1.687,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,12,1.636,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,13,1.486,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,14,1.112,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,15,1.535,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,16,1.149,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,17,1.149,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,18,1.523,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,19,1.736,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,20,1.284,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,21,1.345,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,22,1.693,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,23,1.469,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,24,1.624,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,25,1.691,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,26,1.625,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,27,1.608,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,28,1.375,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,29,1.24,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,30,1.378,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,31,1.68,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,32,1.819,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,33,1.445,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,34,1.767,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,35,1.538,Pupae
