Year,Date,Time,DateTime,Airport,Experiment,Ice,Oil,Vulgaris,VulgarisRoad,Black,East
2017,5/18/2017,19:00,5/18/2017 19:00,6,10.357,10.259,11.334,12.304,11.528,,
2017,5/18/2017,20:00,5/18/2017 20:00,6,9.866,9.768,11.139,11.819,10.846,,
2017,5/18/2017,21:00,5/18/2017 21:00,7,9.176,9.373,10.748,10.944,9.768,,
2017,5/18/2017,22:00,5/18/2017 22:00,4,8.282,9.275,10.259,9.866,8.68,,
2017,5/18/2017,23:00,5/18/2017 23:00,5,7.28,8.779,9.768,9.077,7.882,,
2017,5/19/2017,0:00,5/19/2017 0:00,5,6.674,8.581,9.275,8.382,7.381,,
2017,5/19/2017,1:00,5/19/2017 1:00,6,6.37,8.082,8.879,7.882,6.877,,
2017,5/19/2017,2:00,5/19/2017 2:00,6,6.37,7.882,8.481,7.28,6.573,,
2017,5/19/2017,3:00,5/19/2017 3:00,6,6.37,7.179,8.082,6.877,6.268,,
2017,5/19/2017,4:00,5/19/2017 4:00,7,6.471,7.28,7.782,6.471,5.86,,
2017,5/19/2017,5:00,5/19/2017 5:00,8,6.877,7.481,7.582,6.268,5.757,,
2017,5/19/2017,6:00,5/19/2017 6:00,8,7.28,7.481,7.682,6.37,5.962,,
2017,5/19/2017,7:00,5/19/2017 7:00,9,7.882,7.381,7.782,6.471,6.166,,
2017,5/19/2017,8:00,5/19/2017 8:00,10,8.879,7.381,8.082,6.775,6.471,,
2017,5/19/2017,9:00,5/19/2017 9:00,11,10.553,7.381,8.68,7.28,6.978,,
2017,5/19/2017,10:00,5/19/2017 10:00,13,12.304,7.983,8.978,8.581,8.382,,
2017,5/19/2017,11:00,5/19/2017 11:00,13,14.325,8.282,9.472,9.669,9.373,,
2017,5/19/2017,12:00,5/19/2017 12:00,13,20.234,8.581,10.651,10.846,10.553,,
2017,5/19/2017,13:00,5/19/2017 13:00,14,18.901,8.481,11.041,10.846,10.357,,
2017,5/19/2017,14:00,5/19/2017 14:00,14,19.567,8.879,12.013,11.041,10.651,,
2017,5/19/2017,15:00,5/19/2017 15:00,14,20.043,9.176,13.558,11.041,10.553,,
2017,5/19/2017,16:00,5/19/2017 16:00,14,19.472,9.077,14.325,11.431,11.625,,
2017,5/19/2017,17:00,5/19/2017 17:00,14,20.138,8.978,14.325,11.528,11.139,,
2017,5/19/2017,18:00,5/19/2017 18:00,14,19.472,8.779,14.325,11.041,10.748,,
2017,5/19/2017,19:00,5/19/2017 19:00,13,18.14,8.581,13.75,10.455,10.357,,
2017,5/19/2017,20:00,5/19/2017 20:00,12,16.523,8.282,12.883,9.768,9.669,,
2017,5/19/2017,21:00,5/19/2017 21:00,12,14.996,7.882,12.207,8.779,8.68,,
2017,5/19/2017,22:00,5/19/2017 22:00,11,13.846,7.582,11.431,8.082,7.983,,
2017,5/19/2017,23:00,5/19/2017 23:00,11,12.883,7.179,10.846,7.381,7.28,,
2017,5/20/2017,0:00,5/20/2017 0:00,10,11.916,6.978,10.259,6.775,6.674,,
2017,5/20/2017,1:00,5/20/2017 1:00,10,11.236,6.674,9.866,6.37,6.064,,
2017,5/20/2017,2:00,5/20/2017 2:00,8,10.259,6.37,9.373,5.962,5.45,,
2017,5/20/2017,3:00,5/20/2017 3:00,8,9.373,6.064,8.879,5.244,4.831,,
2017,5/20/2017,4:00,5/20/2017 4:00,9,8.879,5.962,8.382,4.934,4.519,,
2017,5/20/2017,5:00,5/20/2017 5:00,8,8.68,5.86,7.882,4.727,4.311,,
2017,5/20/2017,6:00,5/20/2017 6:00,5,8.581,5.86,7.582,4.831,4.623,,
2017,5/20/2017,7:00,5/20/2017 7:00,3,7.782,5.86,7.28,5.244,4.934,,
2017,5/20/2017,8:00,5/20/2017 8:00,3,6.674,5.86,6.775,5.552,5.141,,
2017,5/20/2017,9:00,5/20/2017 9:00,4,6.978,6.166,7.179,6.064,5.86,,
2017,5/20/2017,10:00,5/20/2017 10:00,3,9.866,6.877,7.381,6.978,6.674,,
2017,5/20/2017,11:00,5/20/2017 11:00,4,11.431,7.582,7.983,7.682,7.381,,
2017,5/20/2017,12:00,5/20/2017 12:00,5,5.655,7.381,9.472,8.68,8.382,,
2017,5/20/2017,13:00,5/20/2017 13:00,5,6.674,7.882,10.259,9.866,9.669,,
2017,5/20/2017,14:00,5/20/2017 14:00,5,7.079,8.082,10.455,10.357,9.965,,
2017,5/20/2017,15:00,5/20/2017 15:00,4,7.28,8.382,10.553,10.846,10.748,,
2017,5/20/2017,16:00,5/20/2017 16:00,5,7.481,8.581,10.944,11.625,11.431,,
2017,5/20/2017,17:00,5/20/2017 17:00,5,7.481,9.077,11.236,12.013,11.625,,
2017,5/20/2017,18:00,5/20/2017 18:00,4,6.978,9.176,11.041,11.625,10.944,,
2017,5/20/2017,19:00,5/20/2017 19:00,4,6.268,9.176,10.455,11.334,10.357,,
2017,5/20/2017,20:00,5/20/2017 20:00,4,5.655,8.68,9.866,10.063,9.176,,
2017,5/20/2017,21:00,5/20/2017 21:00,4,4.831,7.983,9.176,9.077,7.983,,
2017,5/20/2017,22:00,5/20/2017 22:00,3,4.207,7.381,8.382,8.182,7.079,,
2017,5/20/2017,23:00,5/20/2017 23:00,3,3.261,6.877,7.882,7.481,6.268,,
2017,5/21/2017,0:00,5/21/2017 0:00,2,2.837,6.674,7.582,6.775,5.552,,
2017,5/21/2017,1:00,5/21/2017 1:00,3,2.41,6.268,7.079,6.166,5.037,,
2017,5/21/2017,2:00,5/21/2017 2:00,2,1.98,5.552,6.775,5.45,4.623,,
2017,5/21/2017,3:00,5/21/2017 3:00,2,1.872,5.141,6.268,4.934,4.102,,
2017,5/21/2017,4:00,5/21/2017 4:00,2,1.872,5.244,6.064,4.519,3.893,,
2017,5/21/2017,5:00,5/21/2017 5:00,2,1.764,5.552,5.86,4.623,3.893,,
2017,5/21/2017,6:00,5/21/2017 6:00,2,1.764,5.141,5.757,4.727,4.102,,
2017,5/21/2017,7:00,5/21/2017 7:00,2,1.98,5.244,5.86,4.934,4.519,,
2017,5/21/2017,8:00,5/21/2017 8:00,3,2.41,5.655,6.064,5.141,5.037,,
2017,5/21/2017,9:00,5/21/2017 9:00,4,2.943,5.962,6.674,6.166,5.962,,
2017,5/21/2017,10:00,5/21/2017 10:00,4,3.578,6.268,7.481,7.381,7.079,,
2017,5/21/2017,11:00,5/21/2017 11:00,5,4.519,7.682,8.182,9.077,8.581,,
2017,5/21/2017,12:00,5/21/2017 12:00,6,5.757,8.282,8.978,11.236,10.259,,
2017,5/21/2017,13:00,5/21/2017 13:00,6,6.775,8.68,10.063,12.11,11.139,,
2017,5/21/2017,14:00,5/21/2017 14:00,6,7.28,8.779,11.334,12.787,11.819,,
2017,5/21/2017,15:00,5/21/2017 15:00,7,6.877,8.481,11.916,13.173,12.207,,
2017,5/21/2017,16:00,5/21/2017 16:00,7,7.381,8.282,12.497,12.594,11.528,,
2017,5/21/2017,17:00,5/21/2017 17:00,6,7.381,8.182,12.207,12.401,11.334,,
2017,5/21/2017,18:00,5/21/2017 18:00,5,6.268,7.782,10.944,11.431,10.357,,
2017,5/21/2017,19:00,5/21/2017 19:00,5,6.37,7.179,10.748,10.161,9.176,,
2017,5/21/2017,20:00,5/21/2017 20:00,4,5.552,6.573,9.176,8.68,7.782,,
2017,5/21/2017,21:00,5/21/2017 21:00,3,5.037,6.166,8.182,7.381,6.674,,
2017,5/21/2017,22:00,5/21/2017 22:00,3,4.519,5.655,7.28,6.674,5.552,,
2017,5/21/2017,23:00,5/21/2017 23:00,2,4.102,5.347,6.37,5.86,4.727,,
2017,5/22/2017,0:00,5/22/2017 0:00,2,3.683,4.934,5.757,4.831,3.893,,
2017,5/22/2017,1:00,5/22/2017 1:00,2,2.517,4.623,5.244,4.207,3.261,,
2017,5/22/2017,2:00,5/22/2017 2:00,1,2.088,4.207,4.519,3.683,2.837,,
2017,5/22/2017,3:00,5/22/2017 3:00,1,1.98,3.998,4.415,3.261,2.41,,
2017,5/22/2017,4:00,5/22/2017 4:00,1,1.872,3.683,3.683,3.049,1.98,,
2017,5/22/2017,5:00,5/22/2017 5:00,0,1.872,3.367,3.367,2.837,1.872,,
2017,5/22/2017,6:00,5/22/2017 6:00,0,1.33,3.261,3.049,2.73,1.872,,
2017,5/22/2017,7:00,5/22/2017 7:00,0,1.33,3.261,3.367,2.73,1.764,,
2017,5/22/2017,8:00,5/22/2017 8:00,1,1.548,3.261,3.683,2.943,2.088,,
2017,5/22/2017,9:00,5/22/2017 9:00,1,1.764,3.261,3.683,3.261,2.195,,
2017,5/22/2017,10:00,5/22/2017 10:00,1,2.088,3.261,4.102,3.472,2.624,,
2017,5/22/2017,11:00,5/22/2017 11:00,1,2.195,3.472,4.102,3.998,3.367,,
2017,5/22/2017,12:00,5/22/2017 12:00,1,2.41,3.683,4.415,4.727,4.102,,
2017,5/22/2017,13:00,5/22/2017 13:00,1,2.624,3.893,4.831,5.244,4.519,,
2017,5/22/2017,14:00,5/22/2017 14:00,2,3.367,4.102,5.86,5.655,5.037,,
2017,5/22/2017,15:00,5/22/2017 15:00,2,3.472,4.311,6.674,6.37,6.064,,
2017,5/22/2017,16:00,5/22/2017 16:00,3,3.893,4.623,6.775,6.674,6.37,,
2017,5/22/2017,17:00,5/22/2017 17:00,3,4.311,4.727,7.079,6.674,6.471,,
2017,5/22/2017,18:00,5/22/2017 18:00,3,4.311,4.623,6.978,6.877,6.37,,
2017,5/22/2017,19:00,5/22/2017 19:00,3,3.998,4.623,6.877,6.471,6.064,,
2017,5/22/2017,20:00,5/22/2017 20:00,2,3.893,4.207,6.268,6.268,5.552,,
2017,5/22/2017,21:00,5/22/2017 21:00,2,3.367,3.788,5.552,5.45,4.623,,
2017,5/22/2017,22:00,5/22/2017 22:00,2,2.943,3.155,4.934,4.623,3.683,,
2017,5/22/2017,23:00,5/22/2017 23:00,1,2.41,2.624,4.415,4.102,3.155,,
2017,5/23/2017,0:00,5/23/2017 0:00,1,2.088,2.088,3.998,3.472,2.624,,
2017,5/23/2017,1:00,5/23/2017 1:00,1,1.764,2.088,3.578,3.049,2.195,,
2017,5/23/2017,2:00,5/23/2017 2:00,1,1.548,1.439,3.155,2.624,1.872,,
2017,5/23/2017,3:00,5/23/2017 3:00,1,1.33,1.656,2.73,2.195,1.548,,
2017,5/23/2017,4:00,5/23/2017 4:00,1,0.893,1.439,2.41,1.98,1.439,,
2017,5/23/2017,5:00,5/23/2017 5:00,0,0.784,1.439,2.195,1.764,1.33,,
2017,5/23/2017,6:00,5/23/2017 6:00,1,0.784,1.439,2.088,1.656,1.33,,
2017,5/23/2017,7:00,5/23/2017 7:00,1,0.893,1.872,2.195,1.872,1.656,,
2017,5/23/2017,8:00,5/23/2017 8:00,1,1.221,1.98,2.517,2.41,2.195,,
2017,5/23/2017,9:00,5/23/2017 9:00,2,1.764,2.303,3.049,3.155,2.837,,
2017,5/23/2017,10:00,5/23/2017 10:00,2,2.517,4.311,3.998,4.207,3.893,,
2017,5/23/2017,11:00,5/23/2017 11:00,3,3.261,5.45,4.831,6.573,6.37,,
2017,5/23/2017,12:00,5/23/2017 12:00,4,5.141,6.674,7.682,8.879,8.182,,
2017,5/23/2017,13:00,5/23/2017 13:00,6,6.877,6.674,11.139,11.041,10.357,,
2017,5/23/2017,14:00,5/23/2017 14:00,6,8.282,7.882,13.461,13.269,12.013,,
2017,5/23/2017,15:00,5/23/2017 15:00,7,8.879,10.651,14.804,12.207,11.139,,
2017,5/23/2017,16:00,5/23/2017 16:00,8,9.275,12.497,16.141,13.461,12.304,,
2017,5/23/2017,17:00,5/23/2017 17:00,9,9.669,12.304,17.189,14.038,12.69,,
2017,5/23/2017,18:00,5/23/2017 18:00,9,8.481,10.259,16.713,13.269,11.916,,
2017,5/23/2017,19:00,5/23/2017 19:00,9,6.978,8.779,16.427,12.497,11.431,,
2017,5/23/2017,20:00,5/23/2017 20:00,8,6.064,7.882,14.517,11.431,10.455,,
2017,5/23/2017,21:00,5/23/2017 21:00,8,5.757,7.481,13.173,10.063,9.373,,
2017,5/23/2017,22:00,5/23/2017 22:00,7,5.141,6.775,12.207,8.879,8.282,,
2017,5/23/2017,23:00,5/23/2017 23:00,6,5.037,6.37,10.944,7.882,7.079,,
2017,5/24/2017,0:00,5/24/2017 0:00,6,4.727,5.757,9.965,6.978,6.268,,
2017,5/24/2017,1:00,5/24/2017 1:00,5,4.519,5.45,9.077,6.37,5.655,,
2017,5/24/2017,2:00,5/24/2017 2:00,4,4.207,5.037,8.382,5.757,5.141,,
2017,5/24/2017,3:00,5/24/2017 3:00,4,3.155,5.037,7.782,5.347,4.727,,
2017,5/24/2017,4:00,5/24/2017 4:00,4,2.837,4.934,7.381,5.037,4.519,,
2017,5/24/2017,5:00,5/24/2017 5:00,4,2.73,4.727,7.179,4.831,4.311,,
2017,5/24/2017,6:00,5/24/2017 6:00,3,2.837,5.037,7.179,4.831,4.311,,
2017,5/24/2017,7:00,5/24/2017 7:00,3,2.943,5.757,7.381,4.934,4.623,,
2017,5/24/2017,8:00,5/24/2017 8:00,3,3.049,6.674,7.28,5.757,5.347,,
2017,5/24/2017,9:00,5/24/2017 9:00,3,3.367,7.481,7.381,6.877,6.37,,
2017,5/24/2017,10:00,5/24/2017 10:00,3,3.578,7.882,7.481,7.381,6.775,,
2017,5/24/2017,11:00,5/24/2017 11:00,3,3.578,7.882,7.481,7.582,7.079,,
2017,5/24/2017,12:00,5/24/2017 12:00,3,4.207,7.983,7.782,8.182,7.582,,
2017,5/24/2017,13:00,5/24/2017 13:00,5,5.655,8.978,8.779,9.077,8.581,,
2017,5/24/2017,14:00,5/24/2017 14:00,7,6.471,10.063,9.866,9.669,9.077,,
2017,5/24/2017,15:00,5/24/2017 15:00,8,6.978,10.063,10.846,10.651,9.965,,
2017,5/24/2017,16:00,5/24/2017 16:00,6,6.978,10.846,11.334,11.625,10.846,,
2017,5/24/2017,17:00,5/24/2017 17:00,6,6.573,11.236,11.236,12.11,11.139,,
2017,5/24/2017,18:00,5/24/2017 18:00,5,6.166,11.722,11.139,11.431,10.455,,
2017,5/24/2017,19:00,5/24/2017 19:00,7,6.37,11.528,11.236,11.041,10.161,,
2017,5/24/2017,20:00,5/24/2017 20:00,7,5.962,11.139,10.846,10.846,9.965,,
2017,5/24/2017,21:00,5/24/2017 21:00,7,5.552,10.161,10.651,10.357,9.472,,
2017,5/24/2017,22:00,5/24/2017 22:00,5,5.347,9.373,10.161,9.373,8.481,,
2017,5/24/2017,23:00,5/24/2017 23:00,5,5.037,8.481,9.669,8.082,7.179,,
2017,5/25/2017,0:00,5/25/2017 0:00,4,4.831,7.682,9.077,6.775,5.962,,
2017,5/25/2017,1:00,5/25/2017 1:00,4,4.623,6.978,8.581,5.655,4.934,,
2017,5/25/2017,2:00,5/25/2017 2:00,3,4.519,6.471,8.082,5.037,4.311,,
2017,5/25/2017,3:00,5/25/2017 3:00,3,3.472,6.064,7.682,4.727,3.893,,
2017,5/25/2017,4:00,5/25/2017 4:00,3,2.943,5.86,7.28,4.311,3.578,,
2017,5/25/2017,5:00,5/25/2017 5:00,3,2.837,5.962,6.978,4.102,3.578,,
2017,5/25/2017,6:00,5/25/2017 6:00,3,2.73,5.655,6.978,4.623,4.102,,
2017,5/25/2017,7:00,5/25/2017 7:00,3,2.943,6.166,7.079,6.064,5.141,,
2017,5/25/2017,8:00,5/25/2017 8:00,4,3.578,7.582,7.983,7.481,6.268,,
2017,5/25/2017,9:00,5/25/2017 9:00,4,4.934,8.581,10.455,9.571,7.582,,
2017,5/25/2017,10:00,5/25/2017 10:00,6,5.86,9.866,12.11,11.334,9.077,,
2017,5/25/2017,11:00,5/25/2017 11:00,5,7.882,11.722,13.173,12.69,10.748,,
2017,5/25/2017,12:00,5/25/2017 12:00,6,8.779,12.787,13.461,13.269,11.819,,
2017,5/25/2017,13:00,5/25/2017 13:00,6,8.581,13.076,13.461,14.23,12.883,,
2017,5/25/2017,14:00,5/25/2017 14:00,7,8.879,14.613,14.134,14.996,13.654,,
2017,5/25/2017,15:00,5/25/2017 15:00,7,8.282,13.654,14.517,14.804,13.75,,
2017,5/25/2017,16:00,5/25/2017 16:00,7,7.28,12.787,14.613,14.325,13.269,,
2017,5/25/2017,17:00,5/25/2017 17:00,7,6.674,12.304,14.038,13.269,12.594,,
2017,5/25/2017,18:00,5/25/2017 18:00,8,6.471,12.207,13.942,13.173,12.497,,
2017,5/25/2017,19:00,5/25/2017 19:00,8,6.37,11.528,13.942,12.69,11.916,,
2017,5/25/2017,20:00,5/25/2017 20:00,7,6.064,11.236,13.461,11.528,10.944,,
2017,5/25/2017,21:00,5/25/2017 21:00,5,5.655,9.866,12.787,9.965,9.768,,
2017,5/25/2017,22:00,5/25/2017 22:00,5,5.45,9.275,11.916,9.077,8.879,,
2017,5/25/2017,23:00,5/25/2017 23:00,5,5.347,9.077,11.236,8.282,8.082,,
2017,5/26/2017,0:00,5/26/2017 0:00,5,5.141,8.68,10.553,7.682,7.381,,
2017,5/26/2017,1:00,5/26/2017 1:00,5,5.037,8.382,10.063,6.877,6.775,,
2017,5/26/2017,2:00,5/26/2017 2:00,4,4.831,7.782,9.472,6.166,6.064,,
2017,5/26/2017,3:00,5/26/2017 3:00,3,4.623,7.381,8.879,5.552,5.347,,
2017,5/26/2017,4:00,5/26/2017 4:00,3,4.519,7.481,8.282,5.347,5.141,,
2017,5/26/2017,5:00,5/26/2017 5:00,3,4.207,7.882,7.983,5.45,5.347,,
2017,5/26/2017,6:00,5/26/2017 6:00,4,3.578,7.079,7.983,5.86,5.655,,
2017,5/26/2017,7:00,5/26/2017 7:00,5,3.788,7.381,8.082,6.166,5.962,,
2017,5/26/2017,8:00,5/26/2017 8:00,6,4.207,8.182,8.382,6.978,6.775,,
2017,5/26/2017,9:00,5/26/2017 9:00,7,4.934,7.983,8.879,7.28,7.079,,
2017,5/26/2017,10:00,5/26/2017 10:00,7,5.655,7.882,9.373,7.481,7.179,,
2017,5/26/2017,11:00,5/26/2017 11:00,8,5.962,7.882,10.063,8.082,7.782,,
2017,5/26/2017,12:00,5/26/2017 12:00,9,7.28,8.879,10.846,10.259,9.866,,
2017,5/26/2017,13:00,5/26/2017 13:00,9,8.68,10.357,14.038,11.139,10.455,,
2017,5/26/2017,14:00,5/26/2017 14:00,10,8.481,10.259,15.473,11.139,10.553,,
2017,5/26/2017,15:00,5/26/2017 15:00,10,9.472,11.041,14.325,11.041,10.748,,
2017,5/26/2017,16:00,5/26/2017 16:00,9,7.782,10.846,13.654,9.866,10.748,,
2017,5/26/2017,17:00,5/26/2017 17:00,10,7.682,10.846,12.98,9.571,9.669,,
2017,5/26/2017,18:00,5/26/2017 18:00,10,7.179,11.139,12.401,9.275,9.472,,
2017,5/26/2017,19:00,5/26/2017 19:00,9,7.079,10.944,11.916,9.176,9.373,,
2017,5/26/2017,20:00,5/26/2017 20:00,10,6.573,10.161,11.431,8.879,9.077,,
2017,5/26/2017,21:00,5/26/2017 21:00,9,6.268,9.373,10.846,8.182,8.182,,
2017,5/26/2017,22:00,5/26/2017 22:00,9,5.962,8.282,10.259,7.28,7.28,,
2017,5/26/2017,23:00,5/26/2017 23:00,4,5.552,7.582,9.472,6.674,6.471,,
2017,5/27/2017,0:00,5/27/2017 0:00,2,5.037,7.28,8.581,5.962,5.45,,
2017,5/27/2017,1:00,5/27/2017 1:00,2,4.519,6.471,7.582,5.552,4.727,,
2017,5/27/2017,2:00,5/27/2017 2:00,1,4.311,5.962,6.775,5.037,4.311,,
2017,5/27/2017,3:00,5/27/2017 3:00,0,3.261,5.655,5.962,4.519,3.998,,
2017,5/27/2017,4:00,5/27/2017 4:00,0,2.943,5.45,5.347,3.998,3.578,,
2017,5/27/2017,5:00,5/27/2017 5:00,0,2.517,5.45,4.623,3.683,3.472,,
2017,5/27/2017,6:00,5/27/2017 6:00,3,2.517,5.757,4.207,3.788,3.472,,
2017,5/27/2017,7:00,5/27/2017 7:00,3,2.943,6.37,5.45,4.311,3.893,,
2017,5/27/2017,8:00,5/27/2017 8:00,3,3.893,7.782,6.775,5.244,4.415,,
2017,5/27/2017,9:00,5/27/2017 9:00,4,4.727,8.581,9.275,6.674,5.552,,
2017,5/27/2017,10:00,5/27/2017 10:00,5,6.978,9.472,11.041,8.282,6.877,,
2017,5/27/2017,11:00,5/27/2017 11:00,6,8.581,10.357,12.594,9.768,8.382,,
2017,5/27/2017,12:00,5/27/2017 12:00,8,9.373,11.334,14.134,10.944,9.768,,
2017,5/27/2017,13:00,5/27/2017 13:00,9,10.748,12.787,15.951,11.916,10.944,,
2017,5/27/2017,14:00,5/27/2017 14:00,9,11.722,14.709,17.475,14.613,12.11,,
2017,5/27/2017,15:00,5/27/2017 15:00,9,12.883,16.046,18.806,15.473,13.173,,
2017,5/27/2017,16:00,5/27/2017 16:00,9,12.013,16.903,19.758,16.046,14.038,,
2017,5/27/2017,17:00,5/27/2017 17:00,9,11.041,17.189,18.806,15.951,14.517,,
2017,5/27/2017,18:00,5/27/2017 18:00,9,9.768,16.427,18.045,15.378,14.421,,
2017,5/27/2017,19:00,5/27/2017 19:00,8,8.779,15.282,17.284,14.421,13.654,,
2017,5/27/2017,20:00,5/27/2017 20:00,11,8.182,13.654,16.046,12.594,12.304,,
2017,5/27/2017,21:00,5/27/2017 21:00,10,6.166,11.431,14.421,10.748,10.553,,
2017,5/27/2017,22:00,5/27/2017 22:00,9,5.86,10.651,13.076,9.077,9.077,,
2017,5/27/2017,23:00,5/27/2017 23:00,8,5.655,9.965,11.625,7.682,7.782,,
2017,5/28/2017,0:00,5/28/2017 0:00,7,5.347,9.472,10.846,6.775,6.978,,
2017,5/28/2017,1:00,5/28/2017 1:00,6,5.037,8.779,10.063,6.166,5.962,,
2017,5/28/2017,2:00,5/28/2017 2:00,5,4.831,7.882,9.077,5.757,5.037,,
2017,5/28/2017,3:00,5/28/2017 3:00,5,4.727,6.978,8.481,5.552,4.727,,
2017,5/28/2017,4:00,5/28/2017 4:00,5,4.519,6.978,7.882,5.347,4.727,,
2017,5/28/2017,5:00,5/28/2017 5:00,5,4.519,7.28,7.381,5.141,4.623,,
2017,5/28/2017,6:00,5/28/2017 6:00,4,4.519,7.481,7.179,5.141,4.727,,
2017,5/28/2017,7:00,5/28/2017 7:00,4,4.519,7.481,6.978,5.347,4.934,,
2017,5/28/2017,8:00,5/28/2017 8:00,4,4.519,7.381,7.079,5.45,5.037,,
2017,5/28/2017,9:00,5/28/2017 9:00,4,4.727,7.481,6.978,5.655,5.244,,
2017,5/28/2017,10:00,5/28/2017 10:00,4,5.347,7.582,7.079,5.962,5.45,,
2017,5/28/2017,11:00,5/28/2017 11:00,5,6.37,7.782,7.983,6.471,6.064,,
2017,5/28/2017,12:00,5/28/2017 12:00,4,6.166,8.182,8.282,7.079,6.674,,
2017,5/28/2017,13:00,5/28/2017 13:00,4,6.573,9.077,8.879,7.381,6.877,,
2017,5/28/2017,14:00,5/28/2017 14:00,5,6.775,8.978,8.978,8.182,7.682,,
2017,5/28/2017,15:00,5/28/2017 15:00,5,7.28,9.571,9.669,8.879,8.182,,
2017,5/28/2017,16:00,5/28/2017 16:00,5,7.28,10.063,9.965,9.176,8.481,,
2017,5/28/2017,17:00,5/28/2017 17:00,6,7.983,10.357,10.161,9.373,8.879,,
2017,5/28/2017,18:00,5/28/2017 18:00,6,7.882,9.866,9.965,9.472,8.978,,
2017,5/28/2017,19:00,5/28/2017 19:00,6,7.481,8.978,9.669,8.68,8.581,,
2017,5/28/2017,20:00,5/28/2017 20:00,6,7.28,8.382,9.176,8.082,7.983,,
2017,5/28/2017,21:00,5/28/2017 21:00,6,6.775,7.782,8.779,7.28,7.179,,
2017,5/28/2017,22:00,5/28/2017 22:00,6,6.064,6.674,8.082,6.471,6.37,,
2017,5/28/2017,23:00,5/28/2017 23:00,5,5.655,5.347,7.381,5.552,5.037,,
2017,5/29/2017,0:00,5/29/2017 0:00,4,5.037,4.727,6.471,4.727,4.415,,
2017,5/29/2017,1:00,5/29/2017 1:00,3,4.519,3.367,5.45,3.788,3.998,,
2017,5/29/2017,2:00,5/29/2017 2:00,1,4.102,2.73,4.727,3.155,3.578,,
2017,5/29/2017,3:00,5/29/2017 3:00,0,2.837,2.088,4.519,2.73,3.155,,
2017,5/29/2017,4:00,5/29/2017 4:00,0,2.303,2.837,4.311,2.41,2.943,,
2017,5/29/2017,5:00,5/29/2017 5:00,0,2.195,2.41,4.207,2.195,2.73,,
2017,5/29/2017,6:00,5/29/2017 6:00,2,2.303,3.367,3.998,2.73,2.943,,
2017,5/29/2017,7:00,5/29/2017 7:00,4,2.73,5.244,4.831,3.683,3.261,,
2017,5/29/2017,8:00,5/29/2017 8:00,5,3.472,6.775,5.655,4.934,3.893,,
2017,5/29/2017,9:00,5/29/2017 9:00,6,4.519,8.282,7.381,7.481,4.727,,
2017,5/29/2017,10:00,5/29/2017 10:00,7,6.674,10.161,9.669,9.669,6.471,,
2017,5/29/2017,11:00,5/29/2017 11:00,9,8.779,12.013,11.334,11.236,7.983,,
2017,5/29/2017,12:00,5/29/2017 12:00,10,10.553,14.23,12.883,12.207,9.275,,
2017,5/29/2017,13:00,5/29/2017 13:00,10,12.11,14.134,14.613,13.173,10.553,,
2017,5/29/2017,14:00,5/29/2017 14:00,11,13.942,16.999,16.046,14.038,11.625,,
2017,5/29/2017,15:00,5/29/2017 15:00,11,15.473,18.331,17.76,14.325,12.11,,
2017,5/29/2017,16:00,5/29/2017 16:00,11,16.808,18.996,19.282,13.558,12.207,,
2017,5/29/2017,17:00,5/29/2017 17:00,9,14.517,14.421,18.901,12.013,11.625,,
2017,5/29/2017,18:00,5/29/2017 18:00,8,12.594,13.942,17.475,11.041,11.236,,
2017,5/29/2017,19:00,5/29/2017 19:00,7,11.625,14.134,16.046,10.357,10.259,,
2017,5/29/2017,20:00,5/29/2017 20:00,7,9.275,12.594,15.378,9.571,9.866,,
2017,5/29/2017,21:00,5/29/2017 21:00,8,7.381,11.625,13.654,8.978,9.077,,
2017,5/29/2017,22:00,5/29/2017 22:00,7,7.381,11.041,12.98,7.983,7.983,,
2017,5/29/2017,23:00,5/29/2017 23:00,6,6.877,9.866,11.819,6.877,6.877,,
2017,5/30/2017,0:00,5/30/2017 0:00,5,6.166,8.779,10.944,6.064,6.064,,
2017,5/30/2017,1:00,5/30/2017 1:00,4,5.86,7.983,9.866,5.655,5.45,,
2017,5/30/2017,2:00,5/30/2017 2:00,3,5.347,7.381,8.978,5.037,5.037,,
2017,5/30/2017,3:00,5/30/2017 3:00,4,5.037,6.775,8.282,4.311,4.415,,
2017,5/30/2017,4:00,5/30/2017 4:00,2,5.037,6.877,7.882,3.683,3.893,,
2017,5/30/2017,5:00,5/30/2017 5:00,2,4.727,7.079,7.582,3.261,3.683,,
2017,5/30/2017,6:00,5/30/2017 6:00,2,4.727,6.978,7.28,3.155,3.578,,
2017,5/30/2017,7:00,5/30/2017 7:00,1,4.727,6.978,7.28,3.155,3.578,,
2017,5/30/2017,8:00,5/30/2017 8:00,1,4.831,7.481,7.381,3.683,4.102,,
2017,5/30/2017,9:00,5/30/2017 9:00,1,5.037,8.182,7.381,4.311,4.519,,
2017,5/30/2017,10:00,5/30/2017 10:00,1,5.45,9.275,7.782,5.141,5.141,,
2017,5/30/2017,11:00,5/30/2017 11:00,3,6.674,11.041,9.373,5.757,5.962,,
2017,5/30/2017,12:00,5/30/2017 12:00,5,8.68,12.11,11.916,6.268,7.079,,
2017,5/30/2017,13:00,5/30/2017 13:00,5,10.553,14.134,12.207,7.782,8.282,,
2017,5/30/2017,14:00,5/30/2017 14:00,6,11.139,14.709,12.207,8.779,9.176,,
