"","Date","Pond","meantemp","sdtemp","DegreeDay0","DegreeDay1","DegreeDay2","DegreeDay3","DegreeDay4","DegreeDay5","TS0","TS1","TS2","TS3","TS4","TS5"
"126",2018-06-04,"Golf",8.09254166666667,1.79885937239871,8.09254166666667,7.09254166666667,6.09254166666667,5.09254166666667,4.09254166666667,3.09254166666667,122.584625,109.292958333333,96.0012916666667,82.709625,69.4179583333333,56.3513333333333
"127",2018-06-05,"Golf",12.171125,4.4937979609825,12.171125,11.171125,10.171125,9.171125,8.171125,7.171125,134.75575,120.464083333333,106.172416666667,91.88075,77.5890833333333,63.5224583333333
"128",2018-06-06,"Golf",13.5457083333333,2.0816896665338,13.5457083333333,12.5457083333333,11.5457083333333,10.5457083333333,9.54570833333333,8.54570833333333,148.301458333333,133.009791666667,117.718125,102.426458333333,87.1347916666667,72.0681666666667
"129",2018-06-07,"Golf",12.3517916666667,2.28878866726611,12.3517916666667,11.3517916666667,10.3517916666667,9.35179166666667,8.35179166666667,7.35179166666667,160.65325,144.361583333333,128.069916666667,111.77825,95.4865833333333,79.4199583333333
"130",2018-06-08,"Golf",10.4147083333333,1.85247898489909,10.4147083333333,9.41470833333333,8.41470833333333,7.41470833333333,6.41470833333333,5.41470833333333,171.067958333333,153.776291666667,136.484625,119.192958333333,101.901291666667,84.8346666666667
"131",2018-06-09,"Golf",11.7604583333333,5.46508875761622,11.7604583333333,10.7604583333333,9.76045833333333,8.76045833333333,7.76045833333333,6.76045833333333,182.828416666667,164.53675,146.245083333333,127.953416666667,109.66175,91.595125
"132",2018-06-10,"Golf",14.525375,7.82851869942034,14.525375,13.525375,12.525375,11.525375,10.5474166666667,9.65945833333333,197.353791666667,178.062125,158.770458333333,139.478791666667,120.209166666667,101.254583333333
"133",2018-06-11,"Golf",15.301375,6.16480490055902,15.301375,14.301375,13.301375,12.301375,11.301375,10.301375,212.655166666667,192.3635,172.071833333333,151.780166666667,131.510541666667,111.555958333333
"134",2018-06-12,"Golf",16.6865416666667,3.81346707454295,16.6865416666667,15.6865416666667,14.6865416666667,13.6865416666667,12.6865416666667,11.6865416666667,229.341708333333,208.050041666667,186.758375,165.466708333333,144.197083333333,123.2425
"135",2018-06-13,"Golf",14.634875,2.47416686570406,14.634875,13.634875,12.634875,11.634875,10.634875,9.634875,243.976583333333,221.684916666667,199.39325,177.101583333333,154.831958333333,132.877375
"136",2018-06-14,"Golf",11.5563333333333,1.65250901902865,11.5563333333333,10.5563333333333,9.55633333333333,8.55633333333333,7.55633333333333,6.55633333333333,255.532916666667,232.24125,208.949583333333,185.657916666667,162.388291666667,139.433708333333
"137",2018-06-15,"Golf",12.6835,3.04993493872161,12.6835,11.6835,10.6835,9.6835,8.6835,7.6835,268.216416666667,243.92475,219.633083333333,195.341416666667,171.071791666667,147.117208333333
"138",2018-06-16,"Golf",13.81375,3.10178123089747,13.81375,12.81375,11.81375,10.81375,9.81375,8.81375,282.030166666667,256.7385,231.446833333333,206.155166666667,180.885541666667,155.930958333333
"139",2018-06-17,"Golf",13.9644583333333,2.67261833803428,13.9644583333333,12.9644583333333,11.9644583333333,10.9644583333333,9.96445833333333,8.96445833333333,295.994625,269.702958333333,243.411291666667,217.119625,190.85,164.895416666667
"140",2018-06-18,"Golf",15.5747083333333,4.82146026481033,15.5747083333333,14.5747083333333,13.5747083333333,12.5747083333333,11.5747083333333,10.5747083333333,311.569333333333,284.277666666667,256.986,229.694333333333,202.424708333333,175.470125
"141",2018-06-19,"Golf",15.8780833333333,4.54944329051624,15.8780833333333,14.8780833333333,13.8780833333333,12.8780833333333,11.8780833333333,10.8780833333333,327.447416666667,299.15575,270.864083333333,242.572416666667,214.302791666667,186.348208333333
"142",2018-06-20,"Golf",15.082,3.16317421752814,15.082,14.082,13.082,12.082,11.082,10.082,342.529416666667,313.23775,283.946083333333,254.654416666667,225.384791666667,196.430208333333
"143",2018-06-21,"Golf",13.4609583333333,2.39459057913178,13.4609583333333,12.4609583333333,11.4609583333333,10.4609583333333,9.46095833333333,8.46095833333333,355.990375,325.698708333333,295.407041666667,265.115375,234.84575,204.891166666667
"144",2018-06-22,"Golf",14.8882916666667,4.4587963132897,14.8882916666667,13.8882916666667,12.8882916666667,11.8882916666667,10.8882916666667,9.88829166666667,370.878666666667,339.587,308.295333333333,277.003666666667,245.734041666667,214.779458333333
"145",2018-06-23,"Golf",13.49125,2.28469909064249,13.49125,12.49125,11.49125,10.49125,9.49125,8.49125,384.369916666667,352.07825,319.786583333333,287.494916666667,255.225291666667,223.270708333333
"146",2018-06-24,"Golf",14.87488,4.22398666664562,15.4946666666667,14.453,13.4113333333333,12.3696666666667,11.328,10.2863333333333,399.864583333333,366.53125,333.197916666667,299.864583333333,266.553291666667,233.557041666667
"147",2018-06-25,"Golf",10.3227916666667,0.682069802571343,10.3227916666667,9.32279166666667,8.32279166666667,7.32279166666667,6.32279166666667,5.32279166666667,410.187375,375.854041666667,341.520708333333,307.187375,272.876083333333,238.879833333333
"148",2018-06-26,"Golf",13.9294583333333,5.68331316398521,13.9294583333333,12.9294583333333,11.9294583333333,10.9294583333333,9.92945833333333,8.92945833333333,424.116833333333,388.7835,353.450166666667,318.116833333333,282.805541666667,247.809291666667
"149",2018-06-27,"Golf",9.159375,1.06208917267539,3.053125,2.71979166666667,2.38645833333333,2.053125,1.71979166666667,1.38645833333333,427.169958333333,391.503291666667,355.836625,320.169958333333,284.525333333333,249.19575
"150",2018-05-17,"Ice",1.641,0.776917270012995,0.68375,0.294291666666667,0.0772083333333333,0,0,0,0.68375,0.294291666666667,0.0772083333333333,0,0,0
"151",2018-05-18,"Ice",1.836375,1.35652259432456,1.836375,1.0415,0.523666666666667,0.175041666666667,0,0,2.520125,1.33579166666667,0.600875,0.175041666666667,0,0
"152",2018-05-19,"Ice",2.14558333333333,1.38930848975674,2.14558333333333,1.30508333333333,0.68125,0.246916666666667,0.00425000000000001,0,4.66570833333333,2.640875,1.282125,0.421958333333333,0.00425000000000001,0
"153",2018-05-20,"Ice",1.33775,0.44900994953632,1.33775,0.396125,0,0,0,0,6.00345833333333,3.037,1.282125,0.421958333333333,0.00425000000000001,0
"154",2018-05-21,"Ice",2.83295833333333,1.56544508129038,2.83295833333333,1.87341666666667,1.19808333333333,0.600041666666667,0.177208333333333,0.00154166666666666,8.83641666666667,4.91041666666667,2.48020833333333,1.022,0.181458333333333,0.00154166666666666
"155",2018-05-22,"Ice",3.57720833333333,1.18719918768161,3.57720833333333,2.57720833333333,1.57804166666667,0.812166666666667,0.336958333333333,0.0535,12.413625,7.487625,4.05825,1.83416666666667,0.518416666666667,0.0550416666666667
"156",2018-05-23,"Ice",3.53804166666667,1.63042113735836,3.53804166666667,2.53804166666667,1.7155,1.05866666666667,0.475333333333333,0.0594166666666667,15.9516666666667,10.0256666666667,5.77375,2.89283333333333,0.99375,0.114458333333333
"157",2018-05-24,"Ice",4.271875,0.838929458220156,4.271875,3.271875,2.271875,1.271875,0.505125,0.10375,20.2235416666667,13.2975416666667,8.045625,4.16470833333333,1.498875,0.218208333333333
"158",2018-05-25,"Ice",6.20170833333333,2.10659375748101,6.20170833333333,5.20170833333333,4.20170833333333,3.20170833333333,2.24583333333333,1.576125,26.42525,18.49925,12.2473333333333,7.36641666666667,3.74470833333333,1.79433333333333
"159",2018-05-26,"Ice",5.72958333333333,1.0746709877372,5.72958333333333,4.72958333333333,3.72958333333333,2.72958333333333,1.72958333333333,0.876916666666667,32.1548333333333,23.2288333333333,15.9769166666667,10.096,5.47429166666667,2.67125
"160",2018-05-27,"Ice",6.566,2.79632281833622,6.566,5.566,4.566,3.566,2.70241666666667,2.08733333333333,38.7208333333333,28.7948333333333,20.5429166666667,13.662,8.17670833333333,4.75858333333333
"161",2018-05-28,"Ice",6.87041666666667,1.90907837807231,6.87041666666667,5.87041666666667,4.87041666666667,3.87041666666667,2.8705,2.021125,45.59125,34.66525,25.4133333333333,17.5324166666667,11.0472083333333,6.77970833333333
"162",2018-05-29,"Ice",5.83954166666667,1.44424353538202,5.83954166666667,4.83954166666667,3.83954166666667,2.83954166666667,1.86166666666667,1.094,51.4307916666667,39.5047916666667,29.252875,20.3719583333333,12.908875,7.87370833333333
"163",2018-05-30,"Ice",7.23575,1.47630288073016,7.23575,6.23575,5.23575,4.23575,3.23575,2.23575,58.6665416666667,45.7405416666667,34.488625,24.6077083333333,16.144625,10.1094583333333
"164",2018-05-31,"Ice",5.838,0.913173348941695,5.838,4.838,3.838,2.838,1.838,0.900416666666667,64.5045416666667,50.5785416666667,38.326625,27.4457083333333,17.982625,11.009875
"165",2018-06-01,"Ice",5.47791666666667,1.34221144309346,5.47791666666667,4.47791666666667,3.47791666666667,2.47791666666667,1.49145833333333,0.807083333333333,69.9824583333333,55.0564583333333,41.8045416666667,29.923625,19.4740833333333,11.8169583333333
"166",2018-06-02,"Ice",7.25916666666667,1.84931674025763,7.25916666666667,6.25916666666667,5.25916666666667,4.25916666666667,3.25916666666667,2.26620833333333,77.241625,61.315625,47.0637083333333,34.1827916666667,22.73325,14.0831666666667
"167",2018-06-03,"Ice",7.17779166666667,1.43775688756953,7.17779166666667,6.17779166666667,5.17779166666667,4.17779166666667,3.17779166666667,2.17779166666667,84.4194166666667,67.4934166666667,52.2415,38.3605833333333,25.9110416666667,16.2609583333333
"168",2018-06-04,"Ice",6.86191666666667,1.93080161133112,6.86191666666667,5.86191666666667,4.86191666666667,3.86191666666667,2.86191666666667,1.93016666666667,91.2813333333333,73.3553333333333,57.1034166666667,42.2225,28.7729583333333,18.191125
"169",2018-06-05,"Ice",10.33175,2.44486112791353,10.33175,9.33175,8.33175,7.33175,6.33175,5.33175,101.613083333333,82.6870833333333,65.4351666666667,49.55425,35.1047083333333,23.522875
"170",2018-06-06,"Ice",10.1715416666667,0.702243670033023,10.1715416666667,9.17154166666667,8.17154166666667,7.17154166666667,6.17154166666667,5.17154166666667,111.784625,91.858625,73.6067083333333,56.7257916666667,41.27625,28.6944166666667
"171",2018-06-07,"Ice",9.19079166666667,1.17266812011222,9.19079166666667,8.19079166666667,7.19079166666667,6.19079166666667,5.19079166666667,4.19079166666667,120.975416666667,100.049416666667,80.7975,62.9165833333333,46.4670416666667,32.8852083333333
"172",2018-06-08,"Ice",9.90204166666667,1.89084419791719,9.90204166666667,8.90204166666667,7.90204166666667,6.90204166666667,5.90204166666667,4.90204166666667,130.877458333333,108.951458333333,88.6995416666667,69.818625,52.3690833333333,37.78725
"173",2018-06-09,"Ice",10.8988333333333,1.93658616410799,10.8988333333333,9.89883333333333,8.89883333333333,7.89883333333333,6.89883333333333,5.89883333333333,141.776291666667,118.850291666667,97.598375,77.7174583333333,59.2679166666667,43.6860833333333
"174",2018-06-10,"Ice",12.132,2.29907189213765,12.132,11.132,10.132,9.132,8.132,7.132,153.908291666667,129.982291666667,107.730375,86.8494583333333,67.3999166666667,50.8180833333333
"175",2018-06-11,"Ice",13.0714583333333,2.3374354207153,13.0714583333333,12.0714583333333,11.0714583333333,10.0714583333333,9.07145833333333,8.07145833333333,166.97975,142.05375,118.801833333333,96.9209166666667,76.471375,58.8895416666667
"176",2018-06-12,"Ice",13.7049583333333,2.0595566952131,13.7049583333333,12.7049583333333,11.7049583333333,10.7049583333333,9.70495833333333,8.70495833333333,180.684708333333,154.758708333333,130.506791666667,107.625875,86.1763333333333,67.5945
"177",2018-06-13,"Ice",14.7347916666667,1.86344316601581,14.7347916666667,13.7347916666667,12.7347916666667,11.7347916666667,10.7347916666667,9.73479166666667,195.4195,168.4935,143.241583333333,119.360666666667,96.911125,77.3292916666667
"178",2018-06-14,"Ice",13.594,1.30173806889097,13.594,12.594,11.594,10.594,9.594,8.594,209.0135,181.0875,154.835583333333,129.954666666667,106.505125,85.9232916666667
"179",2018-06-15,"Ice",12.8334166666667,2.40716459430135,12.8334166666667,11.8334166666667,10.8334166666667,9.83341666666667,8.83341666666667,7.83341666666667,221.846916666667,192.920916666667,165.669,139.788083333333,115.338541666667,93.7567083333333
"180",2018-06-16,"Ice",13.631375,2.58696555182019,13.631375,12.631375,11.631375,10.631375,9.631375,8.631375,235.478291666667,205.552291666667,177.300375,150.419458333333,124.969916666667,102.388083333333
"181",2018-06-17,"Ice",14.7008333333333,1.54067420777163,14.7008333333333,13.7008333333333,12.7008333333333,11.7008333333333,10.7008333333333,9.70083333333333,250.179125,219.253125,190.001208333333,162.120291666667,135.67075,112.088916666667
"182",2018-06-18,"Ice",14.3739583333333,2.08843154126158,14.3739583333333,13.3739583333333,12.3739583333333,11.3739583333333,10.3739583333333,9.37395833333333,264.553083333333,232.627083333333,202.375166666667,173.49425,146.044708333333,121.462875
"183",2018-06-19,"Ice",11.7424583333333,2.60800908539306,11.7424583333333,10.7424583333333,9.74245833333333,8.74245833333333,7.74245833333333,6.74245833333333,276.295541666667,243.369541666667,212.117625,182.236708333333,153.787166666667,128.205333333333
