Pond,Perimeter_1,Perimeter_2,Area_1,Area_2,Perimeter_avg,Area_avg,Area_loss,meanTempHobo,medianThermalsum,totalmicrobes
East,138.7,127.25,759.2,711.96,132.975,735.58,6.222339305,6.512750929,67.75129167,528
Golf,151.5,101.4,613.5,232.56,126.45,423.03,62.09290954,11.3949443,125.5864375,574
Ice,145.6,127.5,1422,1063.29,136.55,1242.645,25.2257384,8.290351852,87.166625,684
NoOil,58.4,46,198.57,129.97,52.2,164.27,34.54701113,9.924581944,134.3721667,1236
Oil,132.5,125,572.3,424.99,128.75,498.645,25.73999651,7.264294591,101.4011875,1407
Vulgaris,298.5,264.8,1758.35,1031.05,281.65,1394.7,41.36264111,9.269791667,130.1925833,1855
Vulgaris small,238.2,226.3,3181.26,2901.84,232.25,3041.55,8.783312272,8.611397269,86.7949375,1465
Waterfall,206.1,82.4,1769.31,461.48,144.25,1115.395,73.91751587,10.83750417,119.6648333,684
