ID,Site,Weatherperiod,DateStart,Timestart,Datetimestart,DateEnd,Timeend,Datetimeend,Days,Hours,Count,Comments,Count4hour
1,Vulgaris,1,6/7/18,18:40,6/07/18 18:40,6/7/18,22:12,6/07/18 22:12,0.147222222,3.53,0,,0
2,Bunny,1,6/7/18,18:50,6/07/18 18:50,6/7/18,22:16,6/07/18 22:16,0.143055556,3.43,0,,0
3,Dispersal,1,6/7/18,18:05,6/07/18 18:05,6/7/18,22:21,6/07/18 22:21,0.177777778,4.27,0,,0
4,Camp,1,6/7/18,20:50,6/07/18 20:50,6/7/18,23:59,6/07/18 23:59,0.13125,3.15,0,,0
5,Waterfall,1,6/7/18,19:15,6/07/18 19:15,6/7/18,22:37,6/07/18 22:37,0.140277778,3.37,0,,0
6,Forest,1,6/7/18,19:30,6/07/18 19:30,6/7/18,22:49,6/07/18 22:49,0.138194444,3.32,0,,0
7,Golf,1,6/7/18,19:36,6/07/18 19:36,6/7/18,22:54,6/07/18 22:54,0.1375,3.30,0,,0
8,KISS,1,6/7/18,20:15,6/07/18 20:15,6/7/18,23:27,6/07/18 23:27,0.133333333,3.20,0,,0
9,Oil,1,6/7/18,19:45,6/07/18 19:45,6/7/18,23:08,6/07/18 23:08,0.140972222,3.38,0,,0
10,Airport,1,6/7/18,19:50,6/07/18 19:50,6/7/18,23:12,6/07/18 23:12,0.140277778,3.37,0,,0
11,East,1,6/7/18,19:57,6/07/18 19:57,6/7/18,23:17,6/07/18 23:17,0.138888889,3.33,0,,0
12,Vulgaris,2,6/9/18,17:35,6/09/18 17:35,6/9/18,20:35,6/09/18 20:35,0.125,3.00,0,,0
13,Bunny,2,6/9/18,17:38,6/09/18 17:38,6/9/18,20:40,6/09/18 20:40,0.126388889,3.03,0,,0
14,Dispersal,2,6/9/18,17:43,6/09/18 17:43,6/9/18,20:44,6/09/18 20:44,0.125694444,3.02,0,,0
15,Camp,2,6/9/18,17:56,6/09/18 17:56,6/9/18,22:20,6/09/18 22:20,0.183333333,4.40,0,,0
16,Waterfall,2,6/9/18,18:10,6/09/18 18:10,6/9/18,21:04,6/09/18 21:04,0.120833333,2.90,0,,0
17,Forest,2,6/9/18,18:22,6/09/18 18:22,6/9/18,21:16,6/09/18 21:16,0.120833333,2.90,0,,0
18,Golf,2,6/9/18,18:27,6/09/18 18:27,6/9/18,21:22,6/09/18 21:22,0.121527778,2.92,0,,0
19,KISS,2,6/9/18,18:50,6/09/18 18:50,6/9/18,21:46,6/09/18 21:46,0.122222222,2.93,0,,0
20,Oil,2,6/9/18,18:34,6/09/18 18:34,6/9/18,21:29,6/09/18 21:29,0.121527778,2.92,0,,0
21,Airport,2,6/9/18,18:37,6/09/18 18:37,6/9/18,21:33,6/09/18 21:33,0.122222222,2.93,1,,1.363636364
22,East,2,6/9/18,18:41,6/09/18 18:41,6/9/18,21:38,6/09/18 21:38,0.122916667,2.95,0,,0
23,KISS,3,6/11/18,17:25,6/11/18 17:25,6/11/18,20:49,6/11/18 20:49,0.141666667,3.40,0,,0
24,East,3,6/11/18,17:34,6/11/18 17:34,6/11/18,20:31,6/11/18 20:31,0.122916667,2.95,5,,6.779661017
25,Airport,3,6/11/18,17:38,6/11/18 17:38,6/11/18,20:36,6/11/18 20:36,0.123611111,2.97,10,,13.48314607
26,Oil,4,6/12/18,16:51,6/12/18 16:51,6/12/18,19:15,6/12/18 19:15,0.1,2.40,17,,28.33333333
27,Golf,3,6/11/18,17:55,6/11/18 17:55,6/11/18,20:50,6/11/18 20:50,0.121527778,2.92,0,,0
28,Forest,3,6/11/18,18:00,6/11/18 18:00,6/11/18,21:06,6/11/18 21:06,0.129166667,3.10,0,,0
29,Waterfall,3,6/11/18,18:14,6/11/18 18:14,6/11/18,21:19,6/11/18 21:19,0.128472222,3.08,0,,0
30,Camp,3,6/11/18,18:30,6/11/18 18:30,6/11/18,21:40,6/11/18 21:40,0.131944444,3.17,0,,0
31,Dispersal,3,6/11/18,18:43,6/11/18 18:43,6/11/18,21:59,6/11/18 21:59,0.136111111,3.27,0,,0
32,Bunny,3,6/11/18,18:47,6/11/18 18:47,6/11/18,22:04,6/11/18 22:04,0.136805556,3.28,0,,0
33,Vulgaris,3,6/11/18,18:50,6/11/18 18:50,6/11/18,22:07,6/11/18 22:07,0.136805556,3.28,0,,0
34,Vulgaris,5,6/13/18,16:50,6/13/18 16:50,6/13/18,23:16,6/13/18 23:16,0.268055556,6.43,5,,3.10880829
35,Bunny,5,6/13/18,17:00,6/13/18 17:00,6/13/18,23:13,6/13/18 23:13,0.259027778,6.22,4,,2.573726542
36,Dispersal,5,6/13/18,17:04,6/13/18 17:04,6/13/18,23:08,6/13/18 23:08,0.252777778,6.07,3,,1.978021978
37,Camp,5,6/13/18,17:17,6/13/18 17:17,6/13/18,22:55,6/13/18 22:55,0.234722222,5.63,0,,0
38,Waterfall,5,6/13/18,17:50,6/13/18 17:50,6/13/18,22:27,6/13/18 22:27,0.192361111,4.62,0,,0
39,Forest,5,6/13/18,18:08,6/13/18 18:08,6/13/18,22:24,6/13/18 22:24,0.177777778,4.27,0,,0
40,Golf,5,6/13/18,18:14,6/13/18 18:14,6/13/18,22:20,6/13/18 22:20,0.170833333,4.10,0,,0
41,Oil,5,6/13/18,18:25,6/13/18 18:25,6/13/18,21:31,6/13/18 21:31,0.129166667,3.10,0,,0
42,Airport,5,6/13/18,18:29,6/13/18 18:29,6/13/18,21:35,6/13/18 21:35,0.129166667,3.10,0,,0
43,East,5,6/13/18,18:34,6/13/18 18:34,6/13/18,21:42,6/13/18 21:42,0.130555556,3.13,0,,0
44,KISS,5,6/13/18,18:45,6/13/18 18:45,6/13/18,21:47,6/13/18 21:47,0.126388889,3.03,0,,0
45,Vulgaris,6,6/16/18,15:38,6/16/18 15:38,6/16/18,21:15,6/16/18 21:15,0.234027778,5.62,20,,14.24332344
46,Bunny,6,6/16/18,15:43,6/16/18 15:43,6/16/18,21:24,6/16/18 21:24,0.236805556,5.68,33,,23.22580645
47,Dispersal,6,6/16/18,15:46,6/16/18 15:46,6/16/18,21:27,6/16/18 21:27,0.236805556,5.68,39,,27.44868035
48,Camp,6,6/16/18,15:57,6/16/18 15:57,6/16/18,21:40,6/16/18 21:40,0.238194444,5.72,138,,96.55976676
49,Waterfall,6,6/16/18,16:11,6/16/18 16:11,6/16/18,21:55,6/16/18 21:55,0.238888889,5.73,1391,,970.4651163
50,Forest,6,6/16/18,16:26,6/16/18 16:26,6/16/18,22:16,6/16/18 22:16,0.243055556,5.83,234,,160.4571429
51,Golf,6,6/16/18,16:32,6/16/18 16:32,6/16/18,22:24,6/16/18 22:24,0.244444444,5.87,154,,105
52,Oil,6,6/16/18,16:43,6/16/18 16:43,6/16/18,22:30,6/16/18 22:30,0.240972222,5.78,3001,,2075.619597
53,Airport,6,6/16/18,16:47,6/16/18 16:47,6/16/18,22:36,6/16/18 22:36,0.242361111,5.82,5142,,3536.045845
54,East,6,6/16/18,16:51,6/16/18 16:51,6/16/18,22:42,6/16/18 22:42,0.24375,5.85,379,,259.1452991
55,KISS,6,6/16/18,16:40,6/16/18 16:40,6/16/18,22:52,6/16/18 22:52,0.258333333,6.20,1040,,670.9677419
56,East,7,6/17/18,15:24,6/17/18 15:24,6/17/18,20:00,6/17/18 20:00,0.191666667,4.60,79,,68.69565217
57,Airport,7,6/17/18,15:28,6/17/18 15:28,6/17/18,20:05,6/17/18 20:05,0.192361111,4.62,137,,118.700361
58,Oil,7,6/17/18,15:34,6/17/18 15:34,6/17/18,20:11,6/17/18 20:11,0.192361111,4.62,1221,,1057.906137
59,KISS,7,6/17/18,15:40,6/17/18 15:40,6/17/18,19:47,6/17/18 19:47,0.171527778,4.12,13,,12.63157895
60,Golf,7,6/17/18,16:01,6/17/18 16:01,6/17/18,20:20,6/17/18 20:20,0.179861111,4.32,98,,90.81081081
61,Forest,7,6/17/18,16:06,6/17/18 16:06,6/17/18,20:23,6/17/18 20:23,0.178472222,4.28,128,,119.5330739
62,Waterfall,7,6/17/18,16:18,6/17/18 16:18,6/17/18,20:38,6/17/18 20:38,0.180555556,4.33,814,,751.3846154
63,Camp,7,6/17/18,16:32,6/17/18 16:32,6/17/18,20:54,6/17/18 20:54,0.181944444,4.37,532,,487.3282443
64,Dispersal,7,6/17/18,16:46,6/17/18 16:46,6/17/18,21:09,6/17/18 21:09,0.182638889,4.38,232,,211.7110266
65,Bunny,7,6/17/18,16:50,6/17/18 16:50,6/17/18,21:13,6/17/18 21:13,0.182638889,4.38,740,,675.2851711
66,Vulgaris,7,6/17/18,16:57,6/17/18 16:57,6/17/18,21:18,6/17/18 21:18,0.18125,4.35,324,,297.9310345
67,East,8,6/19/18,17:20,6/19/18 17:20,6/19/18,20:35,6/19/18 20:35,0.135416667,3.25,257,,316.3076923
68,Airport,8,6/19/18,17:25,6/19/18 17:25,6/19/18,20:41,6/19/18 20:41,0.136111111,3.27,342,,418.7755102
69,Oil,8,6/19/18,17:43,6/19/18 17:43,6/19/18,20:44,6/19/18 20:44,0.125694444,3.02,1226,,1625.635359
70,KISS,8,6/19/18,17:49,6/19/18 17:49,6/19/18,20:25,6/19/18 20:25,0.108333333,2.60,17,,26.15384615
71,Golf,8,6/19/18,17:55,6/19/18 17:55,6/19/18,20:55,6/19/18 20:55,0.125,3.00,40,,53.33333333
